id	time	stream	text	tu	rel	ant	context
1	2018-08-03 11:36:23.14	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
2	2018-08-03 11:36:25.38	DM->RN	"calibrate"	1	0	translation-r-direct	None
3	2018-08-03 11:36:49.58	CMD	"<audio sync <quiet> one>"	X-CMD	None	None	None
4	2018-08-03 11:36:50.57	RN	"<in three two one>"	X-CMD	None	None	None
5	2018-08-03 11:36:53.13	RN	"<loud noise>"	X-CMD	None	None	None
6	2018-08-03 11:36:53.13	CMD	"<loud noise>"	X-CMD	None	None	None
7	2018-08-03 11:37:00.17	DM->CMD	"calibration complete"	1	0	ack-done	None
8	2018-08-03 11:37:00.27	CMD	"<okay>"	X-CMD	None	None	None
9	2018-08-03 11:37:10.67	CMD	"i'm ready"	2	None	None	None
10	2018-08-03 11:37:14.67	DM->CMD	"I'm also ready.  <beep>"	2	9	reciprocal	None
11	2018-08-03 11:37:23.12	CMD	"move straight ahead <pause> three feet"	3	None	None	None
12	2018-08-03 11:37:29.12	DM->CMD	"ok"	3	11	ack	None
13	2018-08-03 11:37:31.44	DM->CMD	"I will move forward 3 feet"	3	11	ack-wilco	None
14	2018-08-03 11:37:32.09	DM->RN	"move forward 3 feet"	3	11	translation-r-direct	None
15	2018-08-03 11:37:38.01	RN	"done"	3	14	ack-done	None
16	2018-08-03 11:37:39.66	DM->CMD	"done"	3	15	translation-l	None
17	2018-08-03 11:37:40.58	CMD	"take a picture"	4	None	None	None
18	2018-08-03 11:37:43.91	DM->RN	"send image"	4	17	translation-r-direct	None
19	2018-08-03 11:37:44.28	RN	"sent"	4	18	ack-done	None
20	2018-08-03 11:37:47.05	DM->CMD	"sent"	4	19	translation-l	None
21	2018-08-03 11:38:07.47	CMD	"move three feet straight ahead"	5	None	None	None
22	2018-08-03 11:38:11.70	DM->RN	"move forward 3 feet"	5	21	translation-r-direct	None
23	2018-08-03 11:38:15.39	DM->CMD	"ok"	5	21	ack-wilco	None
24	2018-08-03 11:38:17.05	RN	"done"	5	22	ack-done	None
25	2018-08-03 11:38:19.72	DM->CMD	"done"	5	24	translation-l	None
26	2018-08-03 11:38:20.54	CMD	"take a picture"	6	None	None	None
27	2018-08-03 11:38:24.90	DM->RN	"send image"	6	26	translation-r-direct	None
28	2018-08-03 11:38:25.06	RN	"sent"	6	27	ack-done	None
29	2018-08-03 11:38:27.78	DM->CMD	"sent"	6	28	translation-l	None
