id	time	stream	text	tu	rel	ant	context
1	0	DM->RN	"calibrate"	1	0	translation-r-direct	None
2	0	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
3	16.14	RN	"done"	1	1	ack-done	None
4	18.66	DM->CMD	"calibration complete"	1	3	translation-l	None
5	19.98	DM->CMD	"Hello! <beep>"	2	None	None	None
6	21.3	DM->CMD	". . ."	2	5	link-next	None
7	22.91	DM->CMD	"Thanks for teaming up with me today."	2	5	continue	None
8	24.31	DM->CMD	". . ."	2	7	link-next	None
9	27.35	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	2	7	continue	None
10	28.68	DM->CMD	". . ."	2	9	link-next	None
11	31.84	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	2	9	continue	None
12	32.99	DM->CMD	". . ."	2	11	link-next	None
13	35.74	DM->CMD	"You can ask for help at any time."	2	11	continue	None
14	54.31	CMD	"move forward"	3	None	None	None
15	58.86	DM->CMD	"I'm not sure where or when to stop moving forward.  <beep>"	3	14	missing-info	None
16	59.94	DM->CMD	"You can tell me to move a certain distance or to move to an object.  <beep>"	3	15	continue	None
17	61.53	DM->CMD	"Would you like me to send a picture?  <beep>"	3	16	continue	None
18	66.11	CMD	"<pause> move three feet"	3	16*	clar-repair	None
19	70.34	DM->CMD	"ok"	3	18*	ack-wilco	None
20	73.07	DM->RN	"move forward 3 feet"	3	18*	translation-r-direct	None
21	73.87	DM->CMD	"I will move forward 3 feet"	3	18*	ack-wilco	None
22	76.54	DM->CMD	"moving. . ."	3	18*	ack-doing	None
23	81.28	RN	"done"	3	20	ack-done	None
24	82.5	DM->CMD	"done"	3	23	translation-l	None
25	86.71	CMD	"<pause> move two feet"	4	None	None	None
26	90.82	DM->CMD	"ok"	4	25	ack-wilco	None
27	93.32	DM->RN	"move forward 2 feet"	4	25	translation-r-default	None
28	96.04	DM->CMD	"moving. . ."	4	25	ack-doing	None
29	100.79	RN	"done"	4	27	ack-done	None
30	102.11	DM->CMD	"I moved forward 2 feet"	4	29	translation-l	None
31	107.1	CMD	"<long pause> go north"	5	None	None	None
32	108.04	RN	"<no speech>"	None	None	None	None
33	118.09	DM->CMD	"processing. . ."	5	31	processing	None
34	125.929999999999	CMD	"<no command>"	None	None	None	None
35	128.97	DM->CMD	"I'll turn to face North, ok?"	5	31	ack-wilco	None
36	137.7	CMD	"<no command>"	None	None	None	None
37	145.25	CMD	"go three feet to the north"	5	31	continue	None
38	151.45	DM->CMD	"processing. . ."	5	37*	processing	None
39	161.04	DM->RN	"turn to face North"	5	37	translation-r-direct-partial	None
40	164.18	DM->CMD	"I will turn to face North"	5	37	ack-wilco	None
41	166.77	DM->CMD	"but. . ."	5	40	link-next	None
42	170.1	DM->CMD	"I'm not sure if I can move that far forward.  <beep>"	5	37	ack-unsure	None
43	171.82	DM->CMD	"I will move forward as far as I can, ok?  <beep>"	5	37	ack-try	None
44	178.54	RN	"<done>"	5	39	ack-done	None
45	183.96	DM->RN	"move to front wall ahead"	5	39	continue	None
46	190.43	DM->CMD	"moving. . ."	5	37	ack-doing	None
47	190.72	RN	"done"	5	45	ack-done	None
48	191.8	DM->CMD	"done"	5	47	translation-l	None
49	194.14	CMD	"<long pause> turn right"	6	None	None	None
50	208.28	DM->CMD	"I'm not sure where or when to stop turning.  <beep>"	6	49	missing-info	None
51	209.5	DM->CMD	"You can tell me to turn a number of degrees or to face something.  <beep>"	6	50	continue	None
52	215.82	DM->CMD	"Would you like me to send a picture?  <beep>"	6	51	continue	None
53	216.82	CMD	"<pause> turn forty five degrees"	7	 	None	None
54	220.79	DM->CMD	"ok"	7	53	ack-wilco	None
55	224.01	DM->RN	"turn right 45 degrees"	7	53	translation-r-situated	None
