id	time	stream	text	tu	rel	ant	context
1	2018-09-24 10:28:00.85	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
2	2018-09-24 10:28:03.50	DM->RN	"calibrate"	1	0	translation-r-direct	None
3	2018-09-24 10:28:29.61	CMD	"<X: xxx>"	X-CMD	None	None	None
4	2018-09-24 10:28:36.52	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
5	2018-09-24 10:28:36.54	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
6	2018-09-24 10:28:40.45	RN	"<loud noise>"	X-CMD	None	None	None
7	2018-09-24 10:28:40.45	CMD	"<loud noise>"	X-CMD	None	None	None
8	2018-09-24 10:28:42.71	CMD	"<X: okay you can xxx now>"	X-CMD	None	None	None
9	2018-09-24 10:28:49.21	DM->CMD	"calibration complete"	1	0	ack-done	None
10	2018-09-24 10:28:53.04	CMD	"i am ready"	2	None	None	None
11	2018-09-24 10:28:59.05	DM->CMD	"Hello! <beep>"	3	None	None	None
12	2018-09-24 10:29:01.61	DM->CMD	"Thanks for teaming up with me today."	3	11	continue	None
13	2018-09-24 10:29:06.17	CMD	"xxx"	X-CMD	None	None	None
14	2018-09-24 10:29:06.64	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	3	12	continue	None
15	2018-09-24 10:29:14.92	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	3	13	continue	None
16	2018-09-24 10:29:26.15	DM->CMD	"You can ask for help at any time."	3	14	continue	None
17	2018-09-24 10:29:29.30	DM->RN	"participant is ready"	2	10	translation-r-direct	None
18	2018-09-24 10:29:33.81	DM->CMD	"I'm also ready.  <beep>"	2	10	reciprocal	None
19	2018-09-24 10:30:20.64	CMD	"now we can start"	4	None	None	None
20	2018-09-24 10:30:26.93	DM->CMD	"yes"	4	19	reciprocal	None
21	2018-09-24 10:30:33.94	DM->CMD	"I'm ready.  <beep>"	4	20	continue	None
22	2018-09-24 10:30:38.69	CMD	"okay"	4	21	3feedback	None
23	2018-09-24 10:31:34.27	CMD	"how many doorway"	5	None	None	None
24	2018-09-24 10:31:38.85	DM->CMD	"processing. . ."	5	23	processing	None
25	2018-09-24 10:31:52.97	DM->CMD	"I need your help to find doorways."	5	23	nar	None
26	2018-09-24 10:32:22.01	DM->CMD	"You can tell me to move a certain distance or to move to an object.  <beep>"	5	25	continue	None
27	2018-09-24 10:32:46.95	CMD	"<no speech>"	None	None	None	None
28	2018-09-24 10:32:49.72	CMD	"<beep noise>"	None	None	None	None
29	2018-09-24 10:32:50.56	CMD	"<no speech>"	None	None	None	None
30	2018-09-24 10:32:55.80	CMD	"you can move a little bit"	6	None	None	None
31	2018-09-24 10:33:00.40	DM->CMD	"processing. . ."	6	30	processing	None
32	2018-09-24 10:33:10.07	DM->CMD	"How far is a little bit? <beep>"	6	30	req-clar	None
33	2018-09-24 10:33:18.81	CMD	"two inch"	6	32	clar-repair	None
34	2018-09-24 10:33:22.83	DM->CMD	"processing. . ."	6	33	processing	None
35	2018-09-24 10:33:30.13	DM->RN	"move forward 2 inches"	6	33*	translation-r-direct	None
36	2018-09-24 10:33:37.44	RN	"done"	6	35	ack-done	None
37	2018-09-24 10:33:38.37	DM->CMD	"done"	6	36	translation-l	None
38	2018-09-24 10:33:45.03	CMD	"<no speech>"	None	None	None	None
39	2018-09-24 10:33:56.16	CMD	"move diagonals"	7	None	None	None
40	2018-09-24 10:34:03.46	DM->CMD	"processing. . ."	7	39	processing	None
41	2018-09-24 10:34:14.30	DM->CMD	"How far should I move forward? <beep>"	7	39	req-clar	None
42	2018-09-24 10:34:18.70	CMD	"three inch"	7	41	clar-repair	None
43	2018-09-24 10:34:25.23	DM->CMD	"ok"	7	42	ack-wilco	None
44	2018-09-24 10:34:35.84	DM->RN	"move forward 3 inches"	7	42*	translation-r-direct	None
45	2018-09-24 10:34:42.60	RN	"done"	7	44	ack-done	None
46	2018-09-24 10:34:43.68	DM->CMD	"done"	7	45	translation-l	None
47	2018-09-24 10:34:45.32	CMD	"<no speech>"	None	None	None	None
48	2018-09-24 10:34:59.15	CMD	"five inch"	8	None	None	None
49	2018-09-24 10:35:03.30	DM->CMD	"processing. . ."	8	48	processing	None
50	2018-09-24 10:35:10.60	DM->RN	"move forward 5 inches"	8	48	translation-r-history	TU:7
51	2018-09-24 10:35:14.59	DM->CMD	"moving. . ."	8	48	ack-doing	None
52	2018-09-24 10:35:18.57	RN	"done"	8	50	ack-done	None
53	2018-09-24 10:35:20.21	DM->CMD	"done"	8	52	translation-l	None
54	2018-09-24 10:35:35.04	CMD	"ten inches"	9	None	None	None
55	2018-09-24 10:35:40.06	DM->CMD	"ok"	9	54	ack-wilco	None
56	2018-09-24 10:35:48.46	DM->RN	"move forward 10 inches"	9	54	translation-r-history	TU:7
57	2018-09-24 10:35:52.90	DM->CMD	"moving. . ."	9	54	ack-doing	None
58	2018-09-24 10:35:58.72	RN	"done"	9	56	ack-done	None
59	2018-09-24 10:36:00.53	DM->CMD	"done"	9	58	translation-l	None
60	2018-09-24 10:36:08.58	DM->CMD	"Would you like me to send a picture?  <beep>"	10	None	None	None
61	2018-09-24 10:36:13.86	CMD	"sure"	10	60	offer-accept	None
62	2018-09-24 10:36:20.13	DM->RN	"send image"	10	61	translation-r-direct	None
63	2018-09-24 10:36:21.85	RN	"sent"	10	62	ack-done	None
64	2018-09-24 10:36:24.15	DM->CMD	"sent"	10	63	translation-l	None
65	2018-09-24 10:36:35.06	CMD	"<no speech>"	None	None	None	None
66	2018-09-24 10:36:41.61	CMD	"thank you"	10	64	3feedback	None
67	2018-09-24 10:36:42.28	CMD	"move like twenty inches"	11	None	None	None
68	2018-09-24 10:36:47.31	DM->CMD	"processing. . ."	11	67	processing	None
69	2018-09-24 10:36:58.47	DM->RN	"move forward 20 inches"	11	67	translation-r-history	TU:7
70	2018-09-24 10:37:01.73	DM->CMD	"moving. . ."	11	67	ack-doing	None
71	2018-09-24 10:37:09.52	RN	"done"	11	69	ack-done	None
72	2018-09-24 10:37:10.70	DM->CMD	"done"	11	71	translation-l	None
73	2018-09-24 10:37:35.35	CMD	"move five inches"	12	None	None	None
74	2018-09-24 10:37:41.22	DM->CMD	"ok"	12	73	ack-wilco	None
75	2018-09-24 10:37:48.49	DM->RN	"move forward 5 inches"	12	73	translation-r-history	TU:7
76	2018-09-24 10:37:54.05	RN	"done"	12	75	ack-done	None
77	2018-09-24 10:37:55.14	DM->CMD	"done"	12	76	translation-l	None
78	2018-09-24 10:38:04.80	DM->CMD	"If you're having trouble figuring out how far I should move or turn to get to something, you can always try telling me to go directly to whatever you are interested in.  <beep>"	13	None	None	None
79	2018-09-24 10:38:38.70	CMD	"do you know where is a doorways"	14	None	None	None
80	2018-09-24 10:38:43.48	DM->CMD	"processing. . ."	14	79	processing	None
81	2018-09-24 10:38:57.14	DM->CMD	"I need your help to find doorways."	14	79	nar	None
82	2018-09-24 10:39:00.10	CMD	"xxx"	None	None	None	None
