id	time	stream	text	tu	rel	ant	context
1	2018-08-30 15:50:22.79	DM->RN	"calibrate"	1	0	translation-r-direct	None
2	2018-08-30 15:50:23.54	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
3	2018-08-30 15:50:42.39	CMD	"<no speech>"	X-CMD	None	None	None
4	2018-08-30 15:50:43.70	CMD	"okay"	X-CMD	None	None	None
5	2018-08-30 15:50:46.37	CMD	"<X: xxx>"	X-CMD	None	None	None
6	2018-08-30 15:50:49.84	CMD	"<no speech>"	X-CMD	None	None	None
7	2018-08-30 15:50:56.13	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
8	2018-08-30 15:50:56.17	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
9	2018-08-30 15:51:00.06	RN	"<loud noise>"	X-CMD	None	None	None
10	2018-08-30 15:51:00.06	CMD	"<loud noise>"	X-CMD	None	None	None
11	2018-08-30 15:51:00.33	CMD	"<no speech>"	X-CMD	None	None	None
12	2018-08-30 15:51:00.41	DM->CMD	"calibration complete"	1	0	ack-done	None
13	2018-08-30 15:51:07.57	CMD	"the second plate <pause .42> was there"	X-CMD	None	None	None
14	2018-08-30 15:51:20.35	CMD	"estoy listo"	2	None	None	None
15	2018-08-30 15:51:22.48	DM->RN	"participant is ready"	2	14	translation-r-contextual	None
16	2018-08-30 15:51:27.11	DM->CMD	"I'm also ready.  <beep>"	2	14	reciprocal	None
17	2018-08-30 15:51:30.38	CMD	"how do you say i'm ready in french"	3	None	None	None
18	2018-08-30 15:51:34.19	DM->CMD	"I'm not sure."	3	17	answer	None
19	2018-08-30 15:51:38.67	CMD	"send picture"	4	None	None	None
20	2018-08-30 15:51:42.18	DM->RN	"send image"	4	19	translation-r-direct	None
21	2018-08-30 15:51:43.65	RN	"sent"	4	20	ack-done	None
22	2018-08-30 15:51:48.58	DM->CMD	"sent"	4	21	translation-l	None
23	2018-08-30 15:52:22.95	CMD	"move towards the plant"	5	None	None	None
24	2018-08-30 15:52:24.83	CMD	"stop in front of picture and wall"	5	23	continue	None
25	2018-08-30 15:52:31.40	DM->CMD	"processing. . ."	5	24*	processing	None
26	2018-08-30 15:52:59.81	DM->RN	"move to bamboo"	5	23	translation-r-landmark	None
27	2018-08-30 15:53:08.04	DM->RN	"then. . ."	5	26	link-next	None
28	2018-08-30 15:53:12.20	DM->RN	"send image"	5	24	translation-r-direct	None
29	2018-08-30 15:53:28.35	RN	"done and sent"	5	28*	ack-done	None
30	2018-08-30 15:53:29.42	DM->CMD	"Action done, photo sent"	5	29	translation-l	None
31	2018-08-30 15:53:29.69	CMD	"<no speech>"	None	None	None	None
32	2018-08-30 15:53:31.57	CMD	"oh cool"	5	30	3feedback	None
33	2018-08-30 15:53:32.64	CMD	"<no speech>"	None	None	None	None
34	2018-08-30 15:53:33.81	CMD	"xxx <laughter> okay"	6	None	None	None
35	2018-08-30 15:53:37.96	CMD	"um"	None	None	None	None
36	2018-08-30 15:53:42.53	CMD	"move ten degrees left"	6	34	continue	None
37	2018-08-30 15:53:46.36	DM->CMD	"processing. . ."	6	36	processing	None
38	2018-08-30 15:53:52.19	DM->RN	"turn left 10 degrees"	6	36	translation-r-direct	None
39	2018-08-30 15:53:56.63	RN	"<inhale>"	None	None	None	None
40	2018-08-30 15:53:57.14	RN	"done"	6	38	ack-done	None
41	2018-08-30 15:53:57.64	DM->CMD	"done"	6	40	translation-l	None
42	2018-08-30 15:54:00.63	CMD	"send picture"	7	None	None	None
43	2018-08-30 15:54:01.91	DM->RN	"send image"	7	42	translation-r-direct	None
44	2018-08-30 15:54:02.91	RN	"sent"	7	43	ack-done	None
45	2018-08-30 15:54:03.70	DM->CMD	"sent"	7	44	translation-l	None
46	2018-08-30 15:54:14.71	CMD	"move to doorway on the right "	8	None	None	None
47	2018-08-30 15:54:16.98	CMD	"and send picture"	8	46	continue	None
48	2018-08-30 15:54:19.66	DM->CMD	"ok"	8	47*	ack-wilco	None
49	2018-08-30 15:54:25.10	DM->CMD	"I'm not sure which doorway you are referring to.  <beep>"	8	46	missing-info	None
50	2018-08-30 15:54:32.84	CMD	"the doorway in front of you to the right"	8	49	clar-repair	None
51	2018-08-30 15:54:52.00	DM->CMD	"I don't see a door on the right.  <beep>"	8	50	missing-info	None
52	2018-08-30 15:54:54.92	CMD	"<no speech>"	None	None	None	None
53	2018-08-30 15:54:57.71	CMD	"the white and gray area"	8	51	clar-repair	None
54	2018-08-30 15:54:59.53	CMD	"<no speech>"	None	None	None	None
55	2018-08-30 15:55:00.55	CMD	"in front"	8	53	continue	None
56	2018-08-30 15:55:06.15	DM->CMD	"ok"	8	55*	ack-wilco	None
57	2018-08-30 15:55:20.18	DM->RN	"move to as far as you can"	8	55*	translation-r-contextual	ID:53
58	2018-08-30 15:55:31.82	RN	"done"	8	57	ack-done	None
59	2018-08-30 15:55:33.75	CMD	"send <pause .71> send picture"	9	None	None	None
60	2018-08-30 15:55:33.79	DM->CMD	"done"	8	58	translation-l	None
61	2018-08-30 15:55:36.06	DM->RN	"send image"	9	59	translation-r-direct	None
62	2018-08-30 15:55:37.04	RN	"sent"	9	61	ack-done	None
63	2018-08-30 15:55:38.11	DM->CMD	"sent"	9	62	translation-l	None
64	2018-08-30 15:55:51.09	CMD	"move twenty five degree left"	10	None	None	None
65	2018-08-30 15:55:54.29	DM->CMD	"ok"	10	64	ack-wilco	None
66	2018-08-30 15:56:04.09	DM->RN	"turn left 25 degrees"	10	64	translation-r-direct	None
67	2018-08-30 15:56:10.85	RN	"done"	10	66	ack-done	None
68	2018-08-30 15:56:13.69	DM->CMD	"done"	10	67	translation-l	None
69	2018-08-30 15:56:15.86	CMD	"send picture"	11	None	None	None
70	2018-08-30 15:56:17.08	DM->RN	"send image"	11	69	translation-r-direct	None
71	2018-08-30 15:56:18.09	RN	"sent"	11	70	ack-done	None
72	2018-08-30 15:56:18.97	DM->CMD	"sent"	11	71	translation-l	None
73	2018-08-30 15:56:26.22	CMD	"move towards the doorway in front of you "	12	None	None	None
74	2018-08-30 15:56:28.93	CMD	"stop five feet in front"	12	73	continue	None
75	2018-08-30 15:56:37.47	DM->CMD	"I'm unsure which doorway you mean.  <beep>"	12	73	missing-info	None
76	2018-08-30 15:56:44.26	CMD	"doorway directly in front of you"	12	75	clar-repair	None
77	2018-08-30 15:56:47.97	CMD	"<no speech>"	None	None	None	None
78	2018-08-30 15:56:50.24	CMD	"twelve degrees"	12	76	continue	None
79	2018-08-30 15:56:54.73	DM->CMD	"Hmm. . ."	12	78*	processing	None
80	2018-08-30 15:57:04.87	CMD	"move twelve degrees left"	12	78	continue	None
81	2018-08-30 15:57:13.85	DM->RN	"turn left 12 degrees"	12	80	translation-r-direct	None
82	2018-08-30 15:57:15.34	DM->CMD	"turning. . ."	12	80	ack-doing	None
83	2018-08-30 15:57:18.83	RN	"done"	12	81	ack-done	None
84	2018-08-30 15:57:20.26	DM->CMD	"done"	12	83	translation-l	None
85	2018-08-30 15:57:23.19	CMD	"send a picture"	13	None	None	None
86	2018-08-30 15:57:24.55	DM->RN	"send image"	13	85	translation-r-direct	None
87	2018-08-30 15:57:25.34	RN	"sent"	13	86	ack-done	None
88	2018-08-30 15:57:26.68	DM->CMD	"sent"	13	87	translation-l	None
89	2018-08-30 15:57:33.92	CMD	"move forward two feet"	14	None	None	None
90	2018-08-30 15:57:41.81	DM->CMD	"I'm not sure if I can move that far forward.  <beep>"	14	89	ack-unsure	None
91	2018-08-30 15:57:46.13	CMD	"move forward as far as you can"	14	90	clar-repair	None
92	2018-08-30 15:57:49.98	DM->CMD	"I will move forward as far as I can, ok?  <beep>"	14	91	ack-try	None
93	2018-08-30 15:57:52.52	CMD	"<no speech>"	None	None	None	None
94	2018-08-30 15:57:53.31	CMD	"okay"	14	92	3feedback	None
95	2018-08-30 15:58:02.05	DM->RN	"move forward as far as ytou can"	14	94	translation-r-history	ID:92
96	2018-08-30 15:58:04.89	RN	"there's no space for me to move forward"	14	95	comment	None
97	2018-08-30 15:58:06.63	RN	"<DM: i know>"	None	None	None	None
98	2018-08-30 15:58:14.35	DM->CMD	"I moved forward as far as I could."	14	96	translation-l	None
99	2018-08-30 15:58:17.80	CMD	"send a picture"	15	None	None	None
100	2018-08-30 15:58:20.79	DM->RN	"send image"	15	99	translation-r-direct	None
101	2018-08-30 15:58:22.20	RN	"sent"	15	100	ack-done	None
102	2018-08-30 15:58:23.02	DM->CMD	"sent"	15	101	translation-l	None
103	2018-08-30 15:58:28.56	CMD	"move forty degrees left"	16	None	None	None
104	2018-08-30 15:58:37.10	DM->RN	"turn left 40 degrees"	16	103	translation-r-direct	None
105	2018-08-30 15:58:38.15	DM->CMD	"turning. . ."	16	103	ack-doing	None
106	2018-08-30 15:58:45.81	RN	"done"	16	104	ack-done	None
107	2018-08-30 15:58:46.59	DM->CMD	"done"	16	106	translation-l	None
