id	time	stream	text	tu	rel	ant	context
1	2018-08-01 10:20:49.23	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
2	2018-08-01 10:20:54.97	DM->RN	"participant is ready"	1	0	translation-r-direct	None
3	2018-08-01 10:21:28.39	CMD	"<X: you have this down from there>"	X-CMD	None	None	None
4	2018-08-01 10:21:29.75	CMD	"<X: it's held down>"	X-CMD	None	None	None
5	2018-08-01 10:21:30.67	CMD	"<X: yeah>"	X-CMD	None	None	None
6	2018-08-01 10:21:31.04	CMD	"<X: okay>"	X-CMD	None	None	None
7	2018-08-01 10:21:31.37	CMD	"<X: okay>"	X-CMD	None	None	None
8	2018-08-01 10:21:31.94	CMD	"<X: unintelligible>"	X-CMD	None	None	None
9	2018-08-01 10:21:33.60	CMD	"<X: okay>"	X-CMD	None	None	None
10	2018-08-01 10:21:33.68	RN	"<X: no problem>"	X-CMD	None	None	None
11	2018-08-01 10:21:34.02	CMD	"<X: unintelligible>"	X-CMD	None	None	None
12	2018-08-01 10:21:35.11	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
13	2018-08-01 10:21:35.20	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
14	2018-08-01 10:21:37.31	RN	"<loud noise>"	X-CMD	None	None	None
15	2018-08-01 10:21:37.31	CMD	"<loud noise>"	X-CMD	None	None	None
16	2018-08-01 10:21:39.51	CMD	"<X: okay>"	X-CMD	None	None	None
17	2018-08-01 10:21:40.52	CMD	"<X: and then>"	X-CMD	None	None	None
18	2018-08-01 10:21:43.08	RN	"uh done"	1	2	ack-done	None
19	2018-08-01 10:21:43.59	CMD	"<X: you can say i am ready whenever you're ready>"	X-CMD	None	None	None
20	2018-08-01 10:21:44.03	DM->CMD	"calibration complete"	1	18	translation-l	None
21	2018-08-01 10:21:47.99	CMD	"<X: and then you wait>"	X-CMD	None	None	None
22	2018-08-01 10:21:51.50	CMD	"<X: and then you can start>"	X-CMD	None	None	None
23	2018-08-01 10:21:52.60	CMD	"i am ready"	2	None	None	None
24	2018-08-01 10:21:58.42	DM->CMD	"Hello! <beep>"	3	None	None	None
25	2018-08-01 10:22:01.20	DM->CMD	"Thanks for teaming up with me today."	3	24	continue	None
26	2018-08-01 10:22:04.39	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	3	25	continue	None
27	2018-08-01 10:22:08.05	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	3	26	continue	None
28	2018-08-01 10:22:11.66	DM->CMD	"You can ask for help at any time."	3	27	continue	None
29	2018-08-01 10:22:18.28	CMD	"move forward"	4	None	None	None
30	2018-08-01 10:22:23.50	DM->CMD	"How far should I move forward? <beep>"	4	29	req-clar	None
31	2018-08-01 10:22:37.27	CMD	"show me a photo of what you see"	5	None	None	None
32	2018-08-01 10:22:42.51	DM->CMD	"ok"	5	31	ack-wilco	None
33	2018-08-01 10:22:44.49	DM->RN	"send image"	5	31	translation-r-direct	None
34	2018-08-01 10:22:44.93	RN	"sent"	5	33	ack-done	None
