id	time	stream	text	tu	rel	ant	context
1	2.3	RN	"	calibration complete"	1	0	ack-done	None
2	15.19	DM->CMD	"calibration complete"	1	1	translation-l	None
3	15.19	CMD	"send photo"	2	None	None	None
4	25.7	DM->RN	"image"	2	3	translation-r-direct	None
5	25.78	RN	"image sent"	2	4	ack-done	None
6	28.64	DM->CMD	"sent"	2	5	translation-l	None
7	41.23	CMD	"turn left ninety degrees"	3	None	None	None
8	51.19	DM->RN	"turn left 90"	3	7	translation-r-direct	None
9	57.73	DM->CMD	"executing..."	3	7	ack-doing	None
10	67.92	CMD	"send photo"	4	None	None	None
11	69.83	RN	"done"	3	8	ack-done	None
12	72.92	DM->CMD	"done"	3	11	translation-l	None
13	77.45	DM->RN	"image"	4	10	translation-r-direct	None
14	79.74	RN	"image sent"	4	13	ack-done	None
15	81.89	DM->CMD	"sent"	4	14	translation-l	None
16	90.6	CMD	"go backwards <pause> two feet"	5	None	None	None
17	96.59	CMD	"and take photo"	5	16	continue	None
18A	106.23	DM->RN	"move back two feet, "	5	16	translation-r-direct	None
18B	None	DM->RN	"photo"	5	17	translation-r-direct	None
19	109.54	DM->CMD	"executing..."	5	17*	ack-doing	None
20	115.81	RN	"image sent"	5	18B*	ack-done	None
21	118.74	DM->CMD	"sent"	5	20	translation-l	None
22	136.17	CMD	"turn right ninety degrees"	6	None	None	None
23	139.34	CMD	"and send photo"	6	22	continue	None
24A	148.08	DM->RN	"turn right 90, "	6	22	translation-r-direct	None
24B	None	DM->RN	"image"	6	23	translation-r-direct	None
25	151.74	DM->CMD	"executing..."	6	23*	ack-doing	None
26	161.52	RN	"image sent"	6	24B*	ack-done	None
27	165.11	DM->CMD	"sent"	6	26	translation-l	None
28	179.49	CMD	"go through doorway"	7	None	None	None
29	179.49	CMD	"and stop two feet inside"	7	28	continue	None
30	214.04	DM->CMD	"I see two doorways: one ahead of me and one to my left.  Should I go through the one directly ahead of me?"	7	29*	req-clar	None
31	220.09	CMD	"go through doorway directly <pause> ahead of you"	7	30	clar-repair	None
32A	236.95	DM->RN	"move through doorway ahead, "	7	31*	translation-r-direct	None
32B	None	DM->RN	"move into room two feet"	7	29	translation-r-contextual	None
33	240.62	DM->CMD	"executing..."	7	31*	ack-doing	None
34	254.78	RN	"done"	7	32B*	ack-done	None
35	254.85	CMD	"send photo"	8	None	None	None
36	257.06	DM->CMD	"done"	7	34	translation-l	None
37	262.75	DM->RN	"image"	8	35	translation-r-direct	None
38	263.39	RN	"image sent"	8	37	ack-done	None
39	266.56	DM->CMD	"sent"	8	38	translation-l	None
40	277.06	CMD	"turn left forty degrees"	9	None	None	None
41	289.19	DM->RN	"turn left 40"	9	40	translation-r-direct	None
42	292.71	DM->CMD	"executing..."	9	40	ack-doing	None
43	297.75	CMD	"send photo"	10	None	None	None
44	299.54	RN	"done"	9	41	ack-done	None
45	302.31	DM->CMD	"done"	9	44	translation-l	None
46	305.86	DM->RN	"image"	10	43	translation-r-direct	None
47	306.26	RN	"image sent"	10	46	ack-done	None
48	308.78	DM->CMD	"sent"	10	47	translation-l	None
49	328.79	CMD	"go through doorway ahead of you"	11	None	None	None
50	328.79	CMD	"and stop one foot inside doorway"	11	49	continue	None
51	337.68	CMD	"send photo"	11	50	continue	None
52A	355.09	DM->RN	"move through doorway ahead, "	11	49	translation-r-direct	None
52B	None	DM->RN	"proceed one foot forward, "	11	50	translation-r-direct	None
52C	None	DM->RN	"photo"	11	51	translation-r-direct	None
53	359.4	DM->CMD	"executing..."	11	51*	ack-doing	None
54	365.28	RN	"image sent"	11	52C*	ack-done	None
55	367.87	DM->CMD	"sent"	11	54	translation-l	None
56	369.2	CMD	"turn right ninety degrees"	12	None	None	None
57	373.16	CMD	"send photo"	12	56	continue	None
58A	381.46	DM->RN	"turn right 90, "	12	56	translation-r-direct	None
58B	None	DM->RN	"photo"	12	57	translation-r-direct	None
59	385.08	DM->CMD	"executing..."	12	57*	ack-doing	None
60	395.51	RN	"image sent"	12	58B*	ack-done	None
61	399.2	DM->CMD	"sent"	12	60	translation-l	None
62	406.48	CMD	"go forward three feet"	13	None	None	None
63	410.15	CMD	"send photo"	13	62	continue	None
64A	420.22	DM->RN	"move forward 3 feet, "	13	62	translation-r-direct	None
64B	None	DM->RN	"image"	13	63	translation-r-direct	None
65	423.81	DM->CMD	"executing..."	13	63*	ack-doing	None
66	427.26	RN	"image sent"	13	64B*	ack-done	None
67	430.41	DM->CMD	"sent"	13	66	translation-l	None
68	446	CMD	"go forward and go through doorway to your left"	14	None	None	None
69	453.45	CMD	"send photo"	14	68	continue	None
70	482.35	DM->CMD	"I see a doorway ahead and to the left and a doorway"	14	68	req-clar	None
71	500.17	CMD	"go through the doorway ahead and to the left"	14	70	clar-repair	None
72	506.38	CMD	"take photo"	14	69	summarization	None
73	513.39	DM->CMD	"executing..."	14	72*	ack-doing	None
74	521.64	RN	"<no speech>"	None	None	None	None
75A	535.13	DM->RN	"move to doorway ahead with blue curtain to the left, "	14	71	translation-r-landmark	None
75B	None	DM->RN	"image"	14	72	translation-r-direct	None
76	549.4799999999999	RN	"image sent"	14	75B*	ack-done	None
77	556.91	DM->CMD	"sent"	14	76	translation-l	None
78	597.41	CMD	"go backwards two feet"	15	None	None	None
79	602.8100000000001	CMD	"go through doorway to your left"	15	78	continue	None
80	606.41	CMD	"stop one foot inside doorway"	15	79	continue	None
81	609.58	CMD	"send photo"	15	80	continue	None
82A	629.88	DM->RN	"move back two feet, "	15	78	translation-r-direct	None
82B	None	DM->RN	"move through doorway"	15	79	translation-r-direct	None
83	633.26	DM->CMD	"executing..."	15	81*	ack-doing	None
84	653.1899999999999	RN	"image sent"	15	82B*	ack-done	None
85	657.09	DM->CMD	"sent"	15	84	translation-l	None
86	665.91	CMD	"proceed to yellow cone <inhale> and stop"	16	None	None	None
87	686.4	DM->RN	"move forward until parallel with yellow cone"	16	86	translation-r-direct	None
88	690.07	DM->CMD	"executing..."	16	86	ack-doing	None
89	691.28	CMD	"send photo"	17	None	None	None
90	694.2299999999999	RN	"done"	16	87	ack-done	None
91	697.2	DM->CMD	"done"	16	90	translation-l	None
92	703.09	DM->RN	"image"	17	89	translation-r-direct	None
93	703.28	RN	"image sent"	17	92	ack-done	None
94	706.21	DM->CMD	"sent"	17	93	translation-l	None
95	723.25	CMD	"turn right ninety degrees"	18	None	None	None
96	727.51	CMD	"and send photo"	18	95	continue	None
97A	737.46	DM->RN	"turn right 90, "	18	95	translation-r-direct	None
97B	None	DM->RN	"image"	18	96	translation-r-direct	None
98	740.99	DM->CMD	"executing..."	18	96*	ack-doing	None
99	750.03	RN	"image sent"	18	97B*	ack-done	None
100	754.36	DM->CMD	"sent"	18	99	translation-l	None
101	771.67	CMD	"turn right ninety degrees"	19	None	None	None
102	779.17	CMD	"and proceed forward <pause> ten feet"	19	101	continue	None
103	782.83	CMD	"send photo"	19	102	continue	None
