id	time	stream	text	tu	rel	ant	context
1	2018-08-16 14:39:19.07	DM->RN	"ok"	1	0	ack	None
2	2018-08-16 15:00:57.07	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
3	2018-08-16 15:01:13.37	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
4	2018-08-16 15:01:13.40	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
5	2018-08-16 15:01:15.96	RN	"<loud noise>"	X-CMD	None	None	None
6	2018-08-16 15:01:15.96	CMD	"<loud noise>"	X-CMD	None	None	None
7	2018-08-16 15:01:21.16	DM->CMD	"calibration complete"	1	0	ack-done	None
8	2018-08-16 15:01:46.25	CMD	"i am ready"	2	None	None	None
9	2018-08-16 15:01:48.16	DM->RN	"participant is ready"	2	8	translation-r-direct	None
10	2018-08-16 15:01:50.48	DM->CMD	"Hello! <beep>"	3	None	None	None
11	2018-08-16 15:01:52.64	DM->CMD	"Thanks for teaming up with me today."	3	10	continue	None
12	2018-08-16 15:01:55.30	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	3	11	continue	None
13	2018-08-16 15:01:58.57	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	3	12	continue	None
14	2018-08-16 15:02:02.75	DM->CMD	"You can ask for help at any time."	3	13	continue	None
15	2018-08-16 15:02:06.31	CMD	"move forward"	4	None	None	None
16	2018-08-16 15:02:08.99	CMD	"<notification sound>"	None	None	None	None
17	2018-08-16 15:02:09.00	DM->CMD	"How far should I move forward? <beep>"	4	15	req-clar	None
18	2018-08-16 15:02:12.61	CMD	"hmm"	None	None	None	None
19	2018-08-16 15:02:13.91	CMD	"twenty feet"	4	17	clar-repair	None
20	2018-08-16 15:02:15.73	DM->CMD	"processing. . ."	4	19*	processing	None
21	2018-08-16 15:02:23.16	DM->RN	"move forward 20 feet"	4	19*	translation-r-direct	None
22	2018-08-16 15:02:25.00	DM->CMD	"moving. . ."	4	19*	ack-doing	None
23	2018-08-16 15:02:41.20	RN	"done"	4	21	ack-done	None
24	2018-08-16 15:02:41.89	DM->CMD	"done"	4	23	translation-l	None
25	2018-08-16 15:02:46.40	CMD	"move forward ten feet"	5	None	None	None
26	2018-08-16 15:02:52.12	DM->CMD	"I will move forward 10 feet"	5	25	ack-wilco	None
27	2018-08-16 15:02:54.85	DM->RN	"move forward 10 feet"	5	25	translation-r-direct	None
28	2018-08-16 15:02:57.23	DM->CMD	"moving. . ."	5	25	ack-doing	None
29	2018-08-16 15:03:00.87	CMD	"stop"	5	25	correction-cancel	None
30	2018-08-16 15:03:02.93	DM->RN	"stop"	5	29	translation-r-direct	None
31	2018-08-16 15:03:04.75	RN	"done"	5	30*	ack-done	None
32	2018-08-16 15:03:07.07	CMD	"turn to the left ninety degrees"	6	None	None	None
33	2018-08-16 15:03:07.57	DM->CMD	"There's too much lag in our communications for instantaneous instructions.  <beep>"	5	29	ack-cant	None
34	2018-08-16 15:03:10.64	DM->CMD	"processing. . ."	6	32	processing	None
35	2018-08-16 15:03:16.84	DM->RN	"turn left 90 degrees"	6	32	translation-r-direct	None
36	2018-08-16 15:03:19.72	DM->CMD	"turning. . ."	6	32	ack-doing	None
37	2018-08-16 15:03:25.39	RN	"done"	6	35	ack-done	None
38	2018-08-16 15:03:25.50	CMD	"take a picture"	7	None	None	None
39	2018-08-16 15:03:26.39	DM->CMD	"I turned left 90 degrees"	6	37	translation-l	None
40	2018-08-16 15:03:29.23	DM->RN	"send image"	7	38	translation-r-direct	None
41	2018-08-16 15:03:30.65	RN	"sent"	7	40	ack-done	None
42	2018-08-16 15:03:31.27	DM->CMD	"sent"	7	41	translation-l	None
43	2018-08-16 15:03:35.52	CMD	"turn right <pause .53> a hundred degrees"	8	None	None	None
44	2018-08-16 15:03:40.45	DM->CMD	"processing. . ."	8	43	processing	None
45	2018-08-16 15:03:47.64	DM->RN	"turn right 100 degrees"	8	43	translation-r-direct	None
46	2018-08-16 15:03:49.49	DM->CMD	"turning. . ."	8	43	ack-doing	None
47	2018-08-16 15:03:57.88	RN	"done"	8	45	ack-done	None
48	2018-08-16 15:03:58.04	CMD	"turn right forty degree"	9	None	None	None
49	2018-08-16 15:03:58.50	DM->CMD	"done"	8	47	translation-l	None
50	2018-08-16 15:04:02.31	DM->CMD	"processing. . ."	9	48	processing	None
51	2018-08-16 15:04:06.08	DM->RN	"turn right 45 degrees"	9	48	translation-r-direct	None
52	2018-08-16 15:04:08.95	DM->CMD	"turning. . ."	9	48	ack-doing	None
53	2018-08-16 15:04:12.53	RN	"done"	9	51	ack-done	None
54	2018-08-16 15:04:12.57	CMD	"turn left ten degrees"	10	None	None	None
55	2018-08-16 15:04:13.66	DM->CMD	"done"	9	53	translation-l	None
56	2018-08-16 15:04:20.23	DM->RN	"turn left 10 degrees"	10	54	translation-r-direct	None
57	2018-08-16 15:04:23.33	DM->CMD	"turning. . ."	10	54	ack-doing	None
58	2018-08-16 15:04:24.28	CMD	"take a picture"	11	None	None	None
59	2018-08-16 15:04:24.31	RN	"done"	10	56	ack-done	None
60	2018-08-16 15:04:25.09	DM->CMD	"done"	10	59	translation-l	None
61	2018-08-16 15:04:26.41	DM->RN	"send image"	11	58	translation-r-direct	None
62	2018-08-16 15:04:27.67	RN	"sent"	11	61	ack-done	None
63	2018-08-16 15:04:28.88	DM->CMD	"sent"	11	62	translation-l	None
64	2018-08-16 15:04:37.68	CMD	"turn left ten degrees"	12	None	None	None
65	2018-08-16 15:04:41.30	DM->CMD	"processing. . ."	12	64	processing	None
66	2018-08-16 15:04:47.19	DM->RN	"turn left 10 degrees"	12	64	translation-r-direct	None
67	2018-08-16 15:04:49.04	DM->CMD	"turning. . ."	12	64	ack-doing	None
68	2018-08-16 15:04:50.45	RN	"done"	12	66	ack-done	None
69	2018-08-16 15:04:51.15	DM->CMD	"done"	12	68	translation-l	None
