id	time	stream	text	tu	rel	ant	context
1	2018-09-07 10:56:09.95	DM->RN	"calibrate"	1	0	translation-r-direct	None
2	2018-09-07 10:56:10.72	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
3	2018-09-07 10:56:28.95	CMD	"<X: xxx>"	X-CMD	None	None	None
4	2018-09-07 10:56:36.40	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
5	2018-09-07 10:56:36.45	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
6	2018-09-07 10:56:40.70	RN	"<loud noise>"	X-CMD	None	None	None
7	2018-09-07 10:56:40.70	CMD	"<loud noise>"	X-CMD	None	None	None
8	2018-09-07 10:56:40.98	CMD	"<no speech>"	X-CMD	None	None	None
9	2018-09-07 10:56:42.26	DM->CMD	"calibration complete"	1	0	ack-done	None
10	2018-09-07 10:56:43.53	CMD	"<X: okay>"	X-CMD	None	None	None
11	2018-09-07 10:56:43.88	CMD	"<X: you can let <le>>"	X-CMD	None	None	None
12	2018-09-07 10:56:52.27	CMD	"<no speech>"	X-CMD	None	None	None
13	2018-09-07 10:56:52.75	CMD	"i am ready"	2	None	None	None
14	2018-09-07 10:56:55.55	DM->CMD	"I'm also ready.  <beep>"	2	13	reciprocal	None
15	2018-09-07 10:56:57.92	CMD	"<no speech>"	None	None	None	None
16	2018-09-07 10:56:58.53	CMD	"great"	2	14	3feedback	None
17	2018-09-07 10:57:00.62	CMD	"turn to the right <pause .29> five degrees"	3	None	None	None
18	2018-09-07 10:57:03.26	CMD	"and move forward <pause .98> one foot"	3	17	continue	None
19	2018-09-07 10:57:06.55	CMD	"and take a picture"	3	18	continue	None
20	2018-09-07 10:57:07.79	CMD	"assess the area"	3	19	continue	None
21	2018-09-07 10:57:08.26	DM->CMD	"processing. . ."	3	20*	processing	None
22	2018-09-07 10:57:16.24	DM->RN	"turn right 5 degrees"	3	17	translation-r-direct	None
23	2018-09-07 10:57:17.57	DM->RN	"then. . ."	3	22	link-next	None
24	2018-09-07 10:57:19.96	DM->RN	"move forward 1 foot"	3	18	translation-r-direct	None
25	2018-09-07 10:57:20.99	DM->RN	"then. . ."	3	24	link-next	None
26	2018-09-07 10:57:22.03	DM->RN	"send image"	3	19	translation-r-direct	None
27	2018-09-07 10:57:24.39	DM->CMD	"executing. . ."	3	20*	ack-doing	None
28	2018-09-07 10:57:26.72	RN	"done and sent"	3	26*	ack-done	None
29	2018-09-07 10:57:27.95	DM->CMD	"Action done, photo sent"	3	28	translation-l	None
30	2018-09-07 10:57:39.15	CMD	"move forward <pause .47> five feet"	4	None	None	None
31	2018-09-07 10:57:43.76	DM->CMD	"ok"	4	30	ack-wilco	None
32	2018-09-07 10:57:47.54	DM->RN	"move forward 5 feet"	4	30	translation-r-direct	None
33	2018-09-07 10:57:48.40	DM->CMD	"I will move forward 5 feet"	4	30	ack-wilco	None
34	2018-09-07 10:57:48.88	CMD	"take a photo"	4	30	continue	None
35	2018-09-07 10:57:51.16	DM->RN	"then. . ."	4	32	link-next	None
36	2018-09-07 10:57:52.31	DM->RN	"send image"	4	34	translation-r-direct	None
37	2018-09-07 10:57:59.78	RN	"done and sent"	4	36*	ack-done	None
38	2018-09-07 10:58:00.53	DM->CMD	"done, sent"	4	37	translation-l	None
39	2018-09-07 10:58:12.73	CMD	"move to the right <pause 2.28> ten degrees"	5	None	None	None
40	2018-09-07 10:58:17.18	CMD	"move forward <pause 1.53> three feet"	5	39	continue	None
41	2018-09-07 10:58:20.84	CMD	"take a photo <pause .42> of the doorway"	5	40	continue	None
42	2018-09-07 10:58:21.43	DM->CMD	"processing. . ."	5	41*	processing	None
43	2018-09-07 10:58:23.06	CMD	"<no speech>"	None	None	None	None
44	2018-09-07 10:58:34.07	DM->RN	"turn right 10 degrees"	5	39	translation-r-direct	None
45	2018-09-07 10:58:35.32	DM->RN	"then. . ."	5	44	link-next	None
46	2018-09-07 10:58:37.10	DM->RN	"move forward 3 feet"	5	40	translation-r-direct	None
47	2018-09-07 10:58:38.31	DM->RN	"then. . ."	5	46	link-next	None
