id	time	stream	text	tu	rel	ant	context
1	2018-08-28 15:11:10.82	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
2	2018-08-28 15:11:13.72	DM->RN	"calibrate"	1	0	translation-r-direct	None
3	2018-08-28 15:11:31.69	CMD	"<X: xxx down>"	X-CMD	None	None	None
4	2018-08-28 15:11:32.92	CMD	"<no speech>"	X-CMD	None	None	None
5	2018-08-28 15:11:43.07	RN	"<no speech>"	X-CMD	None	None	None
6	2018-08-28 15:11:45.17	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
7	2018-08-28 15:11:45.22	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
8	2018-08-28 15:11:49.25	RN	"<loud noise>"	X-CMD	None	None	None
9	2018-08-28 15:11:49.25	CMD	"<loud noise>"	X-CMD	None	None	None
10	2018-08-28 15:11:58.09	CMD	"<X: okay>"	X-CMD	None	None	None
11	2018-08-28 15:11:58.31	CMD	"<X: you can let up>"	X-CMD	None	None	None
12	2018-08-28 15:11:59.73	DM->CMD	"calibration complete"	1	0	ack-done	None
13	2018-08-28 15:12:08.08	CMD	"i am ready"	2	None	None	None
14	2018-08-28 15:12:09.59	DM->RN	"participant is ready"	2	13	translation-r-direct	None
15	2018-08-28 15:12:14.72	DM->CMD	"I'm also ready.  <beep>"	2	13	reciprocal	None
16	2018-08-28 15:12:18.57	CMD	"okay"	3	None	None	None
17	2018-08-28 15:12:19.04	CMD	"please send a photo of what you see right now"	3	16	continue	None
18	2018-08-28 15:12:23.66	DM->CMD	"ok"	3	17	ack-wilco	None
19	2018-08-28 15:12:26.04	DM->RN	"send image"	3	18	translation-r-direct	None
20	2018-08-28 15:12:27.24	RN	"sent"	3	19	ack-done	None
21	2018-08-28 15:12:29.52	DM->CMD	"sent"	3	20	translation-l	None
22	2018-08-28 15:12:46.32	CMD	"okay"	4	None	None	None
23	2018-08-28 15:12:46.82	CMD	"go straight ahead of you"	4	22	continue	None
24	2018-08-28 15:12:49.24	CMD	"and take a picture of that long object leaning against the wall"	4	23	continue	None
25	2018-08-28 15:12:57.07	DM->CMD	"processing. . ."	4	24*	processing	None
26	2018-08-28 15:13:16.48	DM->RN	"move to Construction room shovel"	4	23	translation-r-landmark	None
27	2018-08-28 15:13:19.80	DM->RN	"then. . ."	4	26	link-next	None
28	2018-08-28 15:13:20.76	DM->RN	"send image"	4	24	translation-r-direct	None
29	2018-08-28 15:13:25.27	DM->CMD	"executing. . ."	4	24*	ack-doing	None
30	2018-08-28 15:13:31.52	RN	"done and sent"	4	28*	ack-done	None
31	2018-08-28 15:13:33.60	DM->CMD	"done, sent"	4	30	translation-l	None
32	2018-08-28 15:13:46.22	CMD	"now please go through that open doorway to your right"	5	None	None	None
33	2018-08-28 15:13:52.95	DM->CMD	"ok"	5	32	ack-wilco	None
34	2018-08-28 15:14:02.42	DM->RN	"move into Office hallway"	5	32	translation-r-landmark	None
35	2018-08-28 15:14:06.15	DM->CMD	"moving. . ."	5	32	ack-doing	None
36	2018-08-28 15:14:15.29	RN	"done"	5	34	ack-done	None
37	2018-08-28 15:14:17.55	DM->CMD	"done"	5	36	translation-l	None
38	2018-08-28 15:14:17.86	CMD	"and send me a picture of what you see"	6	None	None	None
39	2018-08-28 15:14:25.06	DM->RN	"send image"	6	38	translation-r-direct	None
40	2018-08-28 15:14:25.59	RN	"sent"	6	39	ack-done	None
