id	time	stream	text	tu	rel	ant	context
2	8.73	DM->CMD	"I'm also ready. "	1	1	reciprocal	None
3	8.73	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests.  I'll say DONE when I've completed your request, or SENT after sending you a photo, or I may ask for more information or let you know if there is a problem.  You can ask me for help at any time."	2	None	None	None
4	30.43	CMD	"move forward at this time"	3	None	None	None
5	38.84	RN	"<no speech>"	None	None	None	None
6	47.33	RN	"<no speech>"	None	None	None	None
7	55.32	DM->CMD	"How far should I move forward?  You can tell me to move to an object that you see or a distance.  I can send you a photo to start, ok?"	3	4	req-clar	None
8	65.47999999999999	CMD	"yes send me a photo so i could see"	3	7	clar-repair	None
9	72.54	DM->RN	"image"	3	8	translation-r-direct	None
10	73.38000000000001	RN	"image sent"	3	9	ack-done	None
11	75.56	DM->CMD	"sent"	3	10	translation-l	None
12	80.02	CMD	"move to the first cone on your left"	4	None	None	None
13	104.39	DM->CMD	"I'm not sure which object you are referring to.  Can you describe it in another way, using location or color?"	4	12	req-clar	None
14	111.92	CMD	"move to the first orange cone at the left doorway"	4	13	clar-repair	None
15	123.34	DM->CMD	"executing..."	4	14*	ack-doing	None
16	131.84	DM->RN	"move to the first orange object in the left doorway"	4	14*	translation-r-direct	None
17	139.77	RN	"done"	4	16	ack-done	None
18	142.9	CMD	"send me a picture of what you see"	5	None	None	None
19	143.42	DM->CMD	"done"	4	17	translation-l	None
20	149.57	DM->RN	"image"	5	18	translation-r-direct	None
21	149.58	RN	"image sent"	5	20	ack-done	None
22	152.36	DM->CMD	"sent"	5	21	translation-l	None
23	156	CMD	"now move to the second orange cone at the end of the hallway"	6	None	None	None
24	173.41	DM->RN	"move to the other orange object at the end of the hallway"	6	23	translation-r-direct	None
25	176.15	DM->CMD	"executing..."	6	23	ack-doing	None
26	184.72	RN	"done"	6	24	ack-done	None
27	186.34	DM->CMD	"done"	6	26	translation-l	None
28	187.94	CMD	"send me a picture"	7	None	None	None
29	195.61	DM->RN	"image"	7	28	translation-r-direct	None
30	195.71	RN	"image sent"	7	29	ack-done	None
31	199.08	DM->CMD	"sent"	7	30	translation-l	None
32	208.06	CMD	"go back to your left"	8	None	None	None
33	208.06	CMD	"and go to the first doorway that you see"	8	32	continue	None
34	251.11	DM->CMD	"I'm not sure which doorway you are referring to.  The doorway immediately to my left or behind me and to the left?"	8	33	req-clar	None
35	257.13	CMD	"the doorway immediately to your left"	8	34	clar-repair	None
36	273	DM->RN	"Move to the doorway closest to you and to the left."	8	35*	translation-r-direct	None
37	276.46	DM->CMD	"executing..."	8	35*	ack-doing	None
38	283.62	CMD	"send me a picture"	9	None	None	None
39	283.88	RN	"done"	8	36	ack-done	None
40	285.32	DM->CMD	"done"	8	39	translation-l	None
41	291.03	DM->RN	"image"	9	38	translation-r-direct	None
42	291.77	RN	"image sent"	9	41	ack-done	None
43	294.06	DM->CMD	"sent"	9	42	translation-l	None
44	305.42	CMD	"turn forty five degrees"	10	None	None	None
45	308.69	CMD	"and send me a photo of the hallway"	10	44	continue	None
46A	315.68	DM->RN	"turn 45, "	10	44	translation-r-direct	None
46B	None	DM->RN	"image"	10	45	translation-r-direct	None
47	319.18	DM->CMD	"executing..."	10	45*	ack-doing	None
48	322.25	RN	"done"	10	46A	ack-done	None
49	325.83	RN	"image sent"	10	46B	ack-done	None
50	327.19	RN	"sorry"	ERR	None	None	None
51	328.18	DM->CMD	"sent"	10	49*	translation-l	None
52	329.69	CMD	"turn another forty"	11	None	None	None
53	332.42	CMD	"and send me a picture of the hallway"	11	52	continue	None
54A	338.17	DM->RN	"turn 45, "	11	52	translation-r-direct	None
54B	None	DM->RN	"image"	11	53	translation-r-direct	None
55	341.51	DM->CMD	"executing..."	11	53*	ack-doing	None
56	345.78	RN	"done"	11	54B*	ack-done	None
57	348.07	DM->CMD	"sent"	11	56	translation-l	None
58	361.89	CMD	"turn forty five degrees"	12	None	None	None
59	364.28	CMD	"and send me a picture"	12	58	continue	None
60A	371.15	DM->RN	"turn 45, "	12	58	translation-r-direct	None
60B	None	DM->RN	"image"	12	59	translation-r-direct	None
61	374.25	DM->CMD	"executing..."	12	59*	ack-doing	None
62	379.62	RN	"done"	12	60B*	ack-done	None
63	381.61	DM->CMD	"sent"	12	62	translation-l	None
64	381.71	CMD	"turn forty five degrees again"	13	None	None	None
65	384.76	CMD	"and send me a picture"	13	64	continue	None
66A	390.47	DM->RN	"turn 45, "	13	64	translation-r-direct	None
66B	None	DM->RN	"image"	13	65	translation-r-direct	None
67	394.22	DM->CMD	"executing..."	13	65*	ack-doing	None
68	398.65	RN	"done"	13	66B*	ack-done	None
69	400.25	CMD	"turn forty five degrees"	14	None	None	None
70	401.24	DM->CMD	"sent"	13	68	translation-l	None
71	402.62	CMD	"and send me a photo"	14	69	continue	None
72A	409.26	DM->RN	"turn 45, "	14	69	translation-r-direct	None
72B	None	DM->RN	"image"	14	71	translation-r-direct	None
