id	time	stream	text	tu	rel	ant	context
1	3.18	RN	"calibration complete"	1	0	ack-done	None
2	9.69	DM->CMD	"calibration complete"	1	1	translation-l	None
3	13.43	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests.  I'll say DONE when I've completed your request, or SENT after sending you a photo, or I may ask for more information or let you know if there is a problem.  You can ask me for help at any time."	1	0	comment	None
4	21.35	CMD	"take a photo"	2	None	None	None
5	28.95	DM->RN	"photo"	2	4	translation-r-direct	None
6	29.97	RN	"image sent"	2	5	ack-done	None
7	32.1	DM->CMD	"sent"	2	6	translation-l	None
8	52.62	CMD	"I'm ready"	3	None	None	None
9	71.16	CMD	"move forward a little bit"	3	8	continue	None
10	75.08	DM->CMD	"I'm also ready.  What should I do next?  You can tell me to move to an object that you see or to move a certain distance."	3	8	req-clar	None
11	81.51	DM->CMD	"How far is a little bit?"	3	9	req-clar	None
12	81.52	CMD	"two feet"	4	11	clar-repair	None
13	94.2	DM->RN	"move forward 2 feet"	4	12*	translation-r-direct	None
14	97.57	DM->CMD	"executing..."	4	12*	ack-doing	None
15	103.01	RN	"done"	4	13	ack-done	None
16	104.49	DM->CMD	"done"	4	15	translation-l	None
17	113.15	CMD	"move forward a little bit again"	5	None	None	None
18	113.15	CMD	"and then turn left"	5	17	continue	None
19	119.33	CMD	"then take a photo"	5	18	continue	None
20	128.4	DM->CMD	"Does a little bit mean two feet?"	5	19*	req-clar	None
21	137.16	DM->RN	"move forward two feet"	5	17	translation-r-history	ID: 12
22	143.43	RN	"done"	5	21	ack-done	None
23	156.6	CMD	"yes it does"	5	20	clar-repair	None
24	172.66	DM->CMD	"How far should I turn left?  Until facing the door to my left?"	5	18	req-clar	None
25	177.87	CMD	"perpendicular to the doorway"	4	24	clar-repair	None
26	202.24	DM->RN	"move until perpendicular to the first doorway to your left"	4	25*	translation-r-direct-partial	None
27	207.04	DM->CMD	"executing..."	4	25	ack-doing	None
28	209.9	RN	"done"	4	26	ack-done	None
29	220.91	DM->RN	"turn to face the doorway to the left"	4	26	continue	None
30	230.18	RN	"done"	4	29	ack-done	None
31	231.27	DM->CMD	"done"	4	30	translation-l	None
32	235.18	CMD	"take a photo"	5	None	None	None
33	241.3	DM->RN	"photo"	5	32	translation-r-direct	None
34	242.13	RN	"image sent"	5	33	ack-done	None
35	244.01	DM->CMD	"sent"	5	34	translation-l	None
