id	time	stream	text	tu	rel	ant	context
1	2018-09-17 10:27:51.36	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
2	2018-09-17 10:27:54.93	DM->RN	"calibrate"	1	0	translation-r-direct	None
3	2018-09-17 10:28:20.56	CMD	"<X: xxx>"	X-CMD	None	None	None
4	2018-09-17 10:28:21.91	CMD	"<no speech>"	X-CMD	None	None	None
5	2018-09-17 10:28:28.30	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
6	2018-09-17 10:28:28.42	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
7	2018-09-17 10:28:32.34	RN	"<loud noise>"	X-CMD	None	None	None
8	2018-09-17 10:28:32.34	CMD	"<loud noise>"	X-CMD	None	None	None
9	2018-09-17 10:28:34.81	CMD	"<X: okay you can let it>"	X-CMD	None	None	None
10	2018-09-17 10:28:40.59	DM->CMD	"calibration complete"	1	0	translation-r-direct	None
11	2018-09-17 10:28:43.65	CMD	"i am ready"	2	None	None	None
12	2018-09-17 10:28:49.61	DM->CMD	"Hello! <beep>"	3	None	None	None
13	2018-09-17 10:28:52.06	DM->CMD	"Thanks for teaming up with me today."	3	12	continue	None
14	2018-09-17 10:28:57.10	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	3	13	continue	None
15	2018-09-17 10:29:05.13	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	3	14	continue	None
16	2018-09-17 10:29:14.20	DM->CMD	"You can ask for help at any time."	3	15	continue	None
17	2018-09-17 10:29:19.64	DM->RN	"participant is ready"	2	11	translation-r-direct	None
18	2018-09-17 10:29:21.78	DM->CMD	"I'm also ready.  <beep>"	2	11	reciprocal	None
19	2018-09-17 10:29:25.53	CMD	"go forward"	4	None	None	None
20	2018-09-17 10:29:30.31	DM->CMD	"processing. . ."	4	19	processing	None
21	2018-09-17 10:29:38.18	DM->CMD	"How far forward should I go?  <beep>"	4	19	req-clar	None
22	2018-09-17 10:29:41.05	CMD	"twenty feet"	4	21	clar-repair	None
23	2018-09-17 10:29:45.39	DM->CMD	"ok"	4	22*	ack-wilco	None
24	2018-09-17 10:29:51.73	DM->RN	"move forward 20ft"	4	22*	translation-r-direct	None
25	2018-09-17 10:29:56.67	RN	"um i might hit a wall <pause .43> eventually cause i'm not quite straight"	4	24	comment	None
26	2018-09-17 10:29:59.86	CMD	"go forward a hundred feet"	4	22	correction-update	None
27	2018-09-17 10:30:01.01	RN	"<breath>"	None	None	None	None
28	2018-09-17 10:30:01.55	RN	"should i go as far as i can"	4	25	continue	None
