id	time	stream	text	tu	rel	ant	context
2	1976-05-08 04:29:44.00	DM->RN	" calibrate"	1	1	translation-r-direct	None
3	1976-05-08 04:29:47.00	DM->CMD	"I will calibrate...."	1	1	ack-wilco	None
4	2019-10-08 13:04:33.42	RN	" calibrating. . ."	1	2	ack-doing	None
5	2019-10-08 13:04:33.42	DM->CMD	"calibrating. . ."	1	4	translation-l	None
6	2019-10-08 13:04:47.76	RN	" calibration complete"	1	2	ack-done	None
7	2019-10-08 13:04:47.77	DM->CMD	"calibration complete"	1	6	translation-l	None
8	2019-10-08 13:04:42.42	CMD	"I'm ready"	2	None	None	None
9	2019-10-08 13:05:04.85	DM->RN	" participant is ready"	2	8	translation-r-direct	None
10	2019-10-08 13:05:04.86	DM->CMD	"Processing...."	2	8	processing	None
11	2019-10-08 13:05:07.12	RN	" I'm also ready. <beep>"	2	9	reciprocal	None
12	2019-10-08 13:05:07.12	DM->CMD	"I'm also ready. <beep>"	2	11	translation-l	None
13	2019-10-08 13:04:49.48	CMD	"great nice to meet you"	3	None	None	None
14	2019-10-08 13:04:49.48	CMD	"what's your name robot"	3	13	continue	None
15	2019-10-08 13:05:13.37	DM->RN	" move to the end of the hallway"	4	None	None	None
16	2019-10-08 13:05:13.38	DM->CMD	"I will try to move to the end of the hallway."	4	15	ack-wilco	None
17	2019-10-08 13:05:17.88	RN	" moving. . ."	4	15	ack-doing	None
18	2019-10-08 13:05:17.97	DM->CMD	"moving. . ."	4	17	translation-l	None
19	2019-10-08 13:04:57.13	CMD	"sounds good"	4	18*	comment	None
20	2019-10-08 13:05:20.09	DM->CMD	"Can you repeat that? <beep>"	4	19	req-repeat	None
21	2019-10-08 13:05:03.46	CMD	"slow down robot"	5	None	None	None
22	2019-10-08 13:05:26.36	DM->CMD	"Can you repeat that? <beep>"	5	21	req-repeat	None
23	2019-10-08 13:05:06.77	CMD	"slow down"	5	22	clar-repeat	None
24	2019-10-08 13:05:29.58	DM->CMD	"Can you repeat that? <beep>"	5	23	req-repeat	None
25	2019-10-08 13:05:16.81	CMD	"do you see any doorways"	6	None	None	None
26	2019-10-08 13:05:40.51	DM->RN	" send image"	6	25	translation-r-contextual	None
