id	time	stream	text	tu	rel	ant	context
1	2018-08-17 10:49:09.14	DM->RN	"calibrate"	1	0	translation-r-direct	None
2	2018-08-17 10:49:10.23	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
3	2018-08-17 10:49:28.84	CMD	"sure"	1	2	3feedback	None
4	2018-08-17 10:49:29.86	CMD	"mmk"	None	None	None	None
5	2018-08-17 10:49:38.12	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
6	2018-08-17 10:49:38.27	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
7	2018-08-17 10:49:41.92	RN	"<loud noise>"	X-CMD	None	None	None
8	2018-08-17 10:49:41.92	CMD	"<loud noise>"	X-CMD	None	None	None
9	2018-08-17 10:49:44.17	CMD	"<X: okay you can let it<disfl>>"	X-CMD	None	None	None
10	2018-08-17 10:49:44.46	DM->CMD	"calibration complete"	1	0	ack-done	None
11	2018-08-17 10:49:53.93	CMD	"i am ready"	2	None	None	None
12	2018-08-17 10:49:55.42	DM->RN	"participant is ready"	2	11	translation-r-direct	None
13	2018-08-17 10:49:57.80	DM->CMD	"I'm also ready.  <beep>"	2	11	reciprocal	None
14	2018-08-17 10:50:13.10	CMD	"take a picture of directly what is in front of you"	3	None	None	None
15	2018-08-17 10:50:17.24	DM->RN	"send image"	3	14	translation-r-direct	None
16	2018-08-17 10:50:18.27	RN	"sent"	3	15	ack-done	None
17	2018-08-17 10:50:18.76	DM->CMD	"I will send a picture"	3	14	ack-wilco	None
18	2018-08-17 10:50:19.66	DM->CMD	"sent"	3	16	translation-l	None
19	2018-08-17 10:50:50.34	CMD	"can you <pause 1.4> go about three feet"	4	None	None	None
20	2018-08-17 10:50:53.56	CMD	"<no speech>"	None	None	None	None
21	2018-08-17 10:50:54.07	CMD	"move forward about three feet"	4	19	continue	None
22	2018-08-17 10:50:56.98	DM->CMD	"processing. . ."	4	21*	processing	None
23	2018-08-17 10:50:59.26	DM->RN	"move forward 3 feet"	4	21	translation-r-direct	None
24	2018-08-17 10:51:00.06	DM->CMD	"I moved forward 3 feet"	4	23	ack-done-error	None
25	2018-08-17 10:51:06.45	RN	"done"	4	23	ack-done	None
26	2018-08-17 10:51:09.62	DM->CMD	"done"	4	25	translation-l	None
27	2018-08-17 10:51:13.80	CMD	"can you go about another three feet"	5	None	None	None
28	2018-08-17 10:51:18.74	DM->CMD	"ok"	5	27	ack-wilco	None
29	2018-08-17 10:51:20.87	DM->RN	"move forward 3 feet"	5	27	translation-r-history	TU: 4
30	2018-08-17 10:51:26.32	RN	"done"	5	29	ack-done	None
31	2018-08-17 10:51:28.16	DM->CMD	"done"	5	30	translation-l	None
32	2018-08-17 10:51:28.70	CMD	"can you take a picture"	6	None	None	None
33	2018-08-17 10:51:31.51	DM->RN	"send image"	6	32	translation-r-direct	None
34	2018-08-17 10:51:32.03	RN	"sent"	6	33	ack-done	None
35	2018-08-17 10:51:33.35	DM->CMD	"sent"	6	34	translation-l	None
36	2018-08-17 10:51:39.06	CMD	"go about five more feet"	7	None	None	None
37	2018-08-17 10:51:44.45	DM->CMD	"processing. . ."	7	36	processing	None
38	2018-08-17 10:51:47.53	DM->RN	"move forward 5 feet"	7	36	translation-r-history	TU: 4
39	2018-08-17 10:51:56.55	RN	"done"	7	38	ack-done	None
40	2018-08-17 10:51:56.79	CMD	"take a picture"	8	None	None	None
41	2018-08-17 10:51:58.13	DM->CMD	"I moved forward 5 feet"	7	39	translation-l	None
42	2018-08-17 10:52:00.68	DM->RN	"send image"	8	40	translation-r-direct	None
43	2018-08-17 10:52:01.04	RN	"sent"	8	42	ack-done	None
44	2018-08-17 10:52:02.49	DM->CMD	"sent"	8	43	translation-l	None
45	2018-08-17 10:52:12.94	CMD	"go north about <pause 1.07> four feet"	9	None	None	None
46	2018-08-17 10:52:22.02	DM->CMD	"I'm not sure if I can move that far forward.  <beep>"	9	45	ack-unsure	None
47	2018-08-17 10:52:22.74	CMD	"okay um go"	9	46	clar-repair	None
48	2018-08-17 10:52:25.97	CMD	"<no speech>"	None	None	None	None
49	2018-08-17 10:52:30.62	CMD	"go south about si<disfl>"	9	47	continue	None
50	2018-08-17 10:52:32.20	CMD	"go south about seven feet"	9	49	continue	None
51	2018-08-17 10:52:36.54	DM->CMD	"ok"	9	50*	ack-wilco	None
52	2018-08-17 10:52:40.24	DM->RN	"turn to face South"	9	50	translation-r-direct-partial	None
53	2018-08-17 10:52:46.94	DM->RN	"move forward 7"	9	52	continue	None
54	2018-08-17 10:52:54.12	DM->CMD	"moving. . ."	9	50	ack-doing	None
55	2018-08-17 10:53:00.19	RN	"done"	9	53*	ack-done	None
56	2018-08-17 10:53:01.21	CMD	"take a picture"	10	None	None	None
57	2018-08-17 10:53:02.23	DM->CMD	"done"	9	55	translation-l	None
58	2018-08-17 10:53:03.70	DM->RN	"send image"	10	56	translation-r-direct	None
59	2018-08-17 10:53:03.99	RN	"sent"	10	58	ack-done	None
60	2018-08-17 10:53:05.51	DM->CMD	"sent"	10	59	translation-l	None
61	2018-08-17 10:53:38.08	CMD	"please continue moving about four feet"	11	None	None	None
62	2018-08-17 10:53:42.64	DM->CMD	"ok"	11	61	ack-wilco	None
63	2018-08-17 10:53:47.69	DM->RN	"move forward 4"	11	61	translation-r-history	TU: 4
64	2018-08-17 10:53:51.84	DM->CMD	"moving. . ."	11	61	ack-doing	None
65	2018-08-17 10:53:53.95	RN	"done"	11	63	ack-done	None
66	2018-08-17 10:53:54.51	CMD	"take a picture"	12	None	None	None
67	2018-08-17 10:53:55.40	DM->CMD	"done"	11	65	translation-l	None
68	2018-08-17 10:53:57.04	DM->RN	"send image"	12	66	translation-r-direct	None
69	2018-08-17 10:53:57.43	RN	"sent"	12	68	ack-done	None
70	2018-08-17 10:53:58.81	DM->CMD	"sent"	12	69	translation-l	None
71	2018-08-17 10:53:59.87	CMD	"okay so go back where you can from"	13	None	None	None
72	2018-08-17 10:54:03.88	CMD	"can you go back where you came from"	13	71	continue	None
73	2018-08-17 10:54:08.45	DM->CMD	"ok"	13	72*	ack-wilco	None
74	2018-08-17 10:54:21.02	DM->CMD	"Can you rephrase that?  <beep>"	13	72*	req-clar	None
75	2018-08-17 10:54:22.87	CMD	"can you go back about f<disfl> go back about five feet"	13	74	clar-repair	None
76	2018-08-17 10:54:28.48	DM->CMD	"ok"	13	75	ack-wilco	None
77	2018-08-17 10:54:29.70	CMD	"or g<disfl> go north about five feet okay"	13	75	continue	None
78	2018-08-17 10:54:36.31	DM->CMD	"processing. . ."	13	77*	processing	None
79	2018-08-17 10:54:40.23	DM->RN	"turn to face North"	13	77	translation-r-situated-partial	None
80	2018-08-17 10:54:42.11	DM->RN	"then. . ."	13	79	link-next	None
81	2018-08-17 10:54:43.92	DM->RN	"move forward 5 feet"	13	80	continue	None
82	2018-08-17 10:54:46.50	DM->CMD	"turning. . ."	13	77	ack-doing-prep	None
83	2018-08-17 10:54:50.55	DM->CMD	"moving. . ."	13	77	ack-doing	None
84	2018-08-17 10:54:57.76	RN	"done"	13	81*	ack-done	None
85	2018-08-17 10:54:59.88	DM->CMD	"done"	13	84	translation-l	None
86	2018-08-17 10:55:02.08	CMD	"turn east"	14	None	None	None
87	2018-08-17 10:55:03.01	CMD	"take a picture"	14	86	continue	None
