id	time	stream	text	tu	rel	ant	context
2	None	DM->RN	"calibrate"	1	1	translation-r-direct	None
3	None	DM->CMD	"I will calibrate…."	1	1	ack-wilco	None
4	2019-07-29 13:48:06.74	RN	"calibrating. . ."	1	2	ack-doing	None
5	2019-07-29 13:48:06.74	DM->CMD	"calibrating. . ."	1	4	translation-l	None
6	2019-07-29 13:48:14.32	RN	"calibration complete"	1	2	ack-done	None
7	2019-07-29 13:48:14.32	DM->CMD	"calibration complete"	1	6	translation-l	None
8	2019-07-29 13:48:18.55	CMD	"I am ready"	2	None	None	None
9	2019-07-29 13:48:31.59	DM->RN	"participant is ready"	2	8	translation-r-direct	None
10	2019-07-29 13:48:31.59	DM->CMD	"Processing...."	2	8	processing	None
11	2019-07-29 13:48:35.04	RN	"I'm also ready.  <beep>"	2	9	reciprocal	None
12	2019-07-29 13:48:35.04	DM->CMD	"I'm also ready.  <beep>"	2	11	translation-l	None
13	2019-07-29 13:48:28.87	CMD	"move one foot forward"	3	None	None	None
14	2019-07-29 13:48:42.04	DM->RN	"move forward 1 foot"	3	13	translation-r-direct	None
15	2019-07-29 13:48:42.04	DM->CMD	"I will move forward 1 foot."	3	13	ack-wilco	None
16	2019-07-29 13:48:45.22	RN	"moving. . ."	3	14	ack-doing	None
17	2019-07-29 13:48:45.23	DM->CMD	"moving. . ."	3	16	translation-l	None
18	2019-07-29 13:48:49.97	RN	"done"	3	14	ack-done	None
19	2019-07-29 13:48:50.06	DM->CMD	"done"	3	18	translation-l	None
20	2019-07-29 13:48:43.23	CMD	"take a picture"	4	None	None	None
21	2019-07-29 13:48:55.76	DM->RN	"send image"	4	20	translation-r-direct	None
22	2019-07-29 13:48:55.76	DM->CMD	"I will send image."	4	20	ack-wilco	None
23	2019-07-29 13:48:57.47	RN	"sent"	4	21	ack-done	None
24	2019-07-29 13:48:57.53	DM->CMD	"sent"	4	23	translation-l	None
25	2019-07-29 13:48:52.22	CMD	"move two feet forwad"	5	None	None	None
26	2019-07-29 13:49:04.80	DM->CMD	"Can you repeat that?  <beep>"	5	25	req-repeat	None
27	2019-07-29 13:48:57.22	CMD	"move two feet forwad"	5	26	clar-repeat	None
28	2019-07-29 13:49:04.80	DM->CMD	"Can you repeat that?  <beep>"	5	27	req-repeat	None
29	2019-07-29 13:49:05.81	CMD	"move left"	6	None	None	None
30	2019-07-29 13:49:10.74	DM->CMD	"Can you repeat that?  <beep>"	6	29	req-repeat	None
31	2019-07-29 13:49:30.17	CMD	"move forward"	7	None	None	None
32	2019-07-29 13:49:43.25	DM->CMD	"How far should I move forward? <beep>"	7	31	req-clar	None
33	2019-07-29 13:49:35.27	CMD	"two feet"	7	32	clar-repair	None
34	2019-07-29 13:49:48.70	DM->RN	"move forward 2 feet"	7	33*	translation-r-direct	None
35	2019-07-29 13:49:48.71	DM->CMD	"I will move forward 2 feet."	7	33*	ack-wilco	None
36	2019-07-29 13:49:51.15	RN	"moving. . ."	7	34	ack-doing	None
37	2019-07-29 13:49:51.19	DM->CMD	"moving. . ."	7	36	translation-l	None
38	2019-07-29 13:49:57.77	RN	"done"	7	34	ack-done	None
39	2019-07-29 13:49:57.85	DM->CMD	"done"	7	38	translation-l	None
40	2019-07-29 13:49:51.67	CMD	"take a picture"	8	None	None	None
41	2019-07-29 13:50:04.80	DM->RN	"send image"	8	40	translation-r-direct	None
42	2019-07-29 13:50:04.81	DM->CMD	"I will send image."	8	40	ack-wilco	None
43	2019-07-29 13:50:06.81	RN	"sent"	8	41	ack-done	None
44	2019-07-29 13:50:06.86	DM->CMD	"sent"	8	43	translation-l	None
45	2019-07-29 13:50:05.34	CMD	"move forward"	9	None	None	None
46	2019-07-29 13:50:18.07	DM->CMD	"Can you repeat that?  <beep>"	9	45	req-repeat	None
47	2019-07-29 13:50:10.26	CMD	"move forward"	9	46	clar-repeat	None
48	2019-07-29 13:50:23.12	DM->CMD	"Can you repeat that?  <beep>"	9	47	req-repeat	None
49	2019-07-29 13:50:19.92	CMD	"move forward"	9	48	clar-repeat	None
50	2019-07-29 13:50:32.72	DM->CMD	"How far should I move forward? <beep>"	9	49	req-clar	None
51	2019-07-29 13:50:25.77	CMD	"five feet"	9	50	clar-repair	None
52	2019-07-29 13:50:38.61	DM->RN	"move forward 5 feet"	9	51*	translation-r-direct	None
53	2019-07-29 13:50:38.61	DM->CMD	"I will move forward 5 feet."	9	51*	ack-wilco	None
54	2019-07-29 13:50:41.13	RN	"moving. . ."	9	52	ack-doing	None
55	2019-07-29 13:50:41.15	DM->CMD	"moving. . ."	9	54	translation-l	None
56	2019-07-29 13:50:52.49	RN	"done"	9	52	ack-done	None
57	2019-07-29 13:50:52.53	DM->CMD	"done"	9	56	translation-l	None
58	2019-07-29 13:50:43.42	CMD	"take a picture"	10	None	None	None
59	2019-07-29 13:50:56.81	DM->RN	"send image"	10	58	translation-r-direct	None
60	2019-07-29 13:50:56.82	DM->CMD	"I will send image."	10	58	ack-wilco	None
61	2019-07-29 13:50:58.58	RN	"sent"	10	59	ack-done	None
62	2019-07-29 13:50:58.67	DM->CMD	"sent"	10	61	translation-l	None
63	2019-07-29 13:51:18.48	CMD	"move forward"	11	None	None	None
64	2019-07-29 13:51:31.51	DM->CMD	"How far should I move forward? <beep>"	11	63	req-clar	None
65	2019-07-29 13:51:22.68	CMD	"three feet"	11	64	clar-repair	None
66	2019-07-29 13:51:35.96	DM->RN	"move forward 3 feet"	11	65*	translation-r-direct	None
67	2019-07-29 13:51:35.96	DM->CMD	"I will move forward 3 feet."	11	65*	ack-wilco	None
68	2019-07-29 13:51:39.06	RN	"moving. . ."	11	66	ack-doing	None
69	2019-07-29 13:51:39.12	DM->CMD	"moving. . ."	11	68	translation-l	None
70	2019-07-29 13:51:44.77	RN	"done"	11	66	ack-done	None
71	2019-07-29 13:51:44.85	DM->CMD	"done"	11	70	translation-l	None
72	2019-07-29 13:51:38.12	CMD	"send a picture"	12	None	None	None
73	2019-07-29 13:51:51.55	DM->RN	"send image"	12	72	translation-r-direct	None
74	2019-07-29 13:51:51.56	DM->CMD	"I will send image."	12	72	ack-wilco	None
75	2019-07-29 13:51:52.80	RN	"sent"	12	73	ack-done	None
76	2019-07-29 13:51:52.84	DM->CMD	"sent"	12	75	translation-l	None
77	2019-07-29 13:52:08.57	CMD	"move six feet forward"	13	None	None	None
78	2019-07-29 13:52:21.22	DM->RN	"move forward 6ft"	13	77	translation-r-direct	None
79	2019-07-29 13:52:21.22	DM->CMD	"I will move forward 6ft."	13	77	ack-wilco	None
80	2019-07-29 13:52:22.89	RN	"moving. . ."	13	78	ack-doing	None
81	2019-07-29 13:52:22.95	DM->CMD	"moving. . ."	13	80	translation-l	None
82	2019-07-29 13:52:31.40	RN	"done"	13	78	ack-done	None
83	2019-07-29 13:52:31.44	DM->CMD	"done"	13	82	translation-l	None
84	2019-07-29 13:52:23.48	CMD	"take image"	14	None	None	None
85	2019-07-29 13:52:36.85	DM->RN	"send image"	14	84	translation-r-direct	None
86	2019-07-29 13:52:36.85	DM->CMD	"I will send image."	14	84	ack-wilco	None
87	2019-07-29 13:52:38.14	RN	"sent"	14	85	ack-done	None
88	2019-07-29 13:52:38.21	DM->CMD	"sent"	14	87	translation-l	None
89	2019-07-29 13:52:37.82	CMD	"move forward five feet"	15	None	None	None
90	2019-07-29 13:52:51.15	DM->RN	"move forward 5 feet"	15	89	translation-r-direct	None
91	2019-07-29 13:52:51.16	DM->CMD	"I will move forward 5 feet."	15	89	ack-wilco	None
