id	time	stream	text	tu	rel	ant	context
1	2018-09-06 10:19:18.50	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
2	2018-09-06 10:19:35.61	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
3	2018-09-06 10:19:38.22	RN	"<loud noise>"	X-CMD	None	None	None
4	2018-09-06 10:19:38.22	CMD	"<loud noise>"	X-CMD	None	None	None
5	2018-09-06 10:19:38.48	CMD	"<no speech>"	X-CMD	None	None	None
6	2018-09-06 10:19:47.87	DM->CMD	"calibration complete"	1	0	ack-done	None
7	2018-09-06 10:19:50.89	CMD	"<X: okay>"	X-CMD	None	None	None
8	2018-09-06 10:19:51.36	CMD	"<X: thank you>"	X-CMD	None	None	None
9	2018-09-06 10:19:51.57	CMD	"<X: you can let go of the button <but>>"	X-CMD	None	None	None
10	2018-09-06 10:20:13.50	CMD	"i am ready"	2	None	None	None
11	2018-09-06 10:20:15.84	DM->RN	"participant is ready"	2	10	translation-r-direct	None
12	2018-09-06 10:20:19.85	DM->CMD	"Hello! <beep>"	3	None	None	None
13	2018-09-06 10:20:22.22	DM->CMD	"Thanks for teaming up with me today."	3	12	continue	None
14	2018-09-06 10:20:25.33	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	3	13	continue	None
15	2018-09-06 10:20:28.49	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	3	14	continue	None
16	2018-09-06 10:20:31.34	DM->CMD	"You can ask for help at any time."	3	15	continue	None
17	2018-09-06 10:20:45.14	CMD	"go east three feet"	4	None	None	None
18	2018-09-06 10:20:47.92	DM->CMD	"processing. . ."	4	17	processing	None
19	2018-09-06 10:20:51.90	DM->RN	"move forward 3 feet"	4	17	translation-r-situated	None
20	2018-09-06 10:20:54.01	DM->CMD	"moving. . ."	4	17	ack-doing	None
21	2018-09-06 10:20:56.46	RN	"done"	4	19	ack-done	None
22	2018-09-06 10:20:57.47	DM->CMD	"done"	4	21	translation-l	None
23	2018-09-06 10:20:59.28	CMD	"go east one foot"	5	None	None	None
24	2018-09-06 10:21:02.83	DM->CMD	"processing. . ."	5	23	processing	None
25	2018-09-06 10:21:06.88	DM->RN	"move forward 1 foot"	5	23	translation-r-situated	None
26	2018-09-06 10:21:08.47	DM->CMD	"moving. . ."	5	23	ack-doing	None
27	2018-09-06 10:21:09.80	RN	"done"	5	25	ack-done	None
28	2018-09-06 10:21:10.54	DM->CMD	"done"	5	27	translation-l	None
29	2018-09-06 10:21:10.62	CMD	"turn ninety degrees counterclockwise"	6	None	None	None
30	2018-09-06 10:21:15.37	DM->CMD	"processing. . ."	6	29	processing	None
31	2018-09-06 10:21:19.31	DM->RN	"turn left 90 degrees"	6	29	translation-r-situated	None
32	2018-09-06 10:21:21.36	DM->CMD	"turning. . ."	6	29	ack-doing	None
33	2018-09-06 10:21:26.58	RN	"done"	6	31	ack-done	None
34	2018-09-06 10:21:27.43	DM->CMD	"done"	6	33	translation-l	None
35	2018-09-06 10:21:29.57	CMD	"take a photo"	7	None	None	None
36	2018-09-06 10:21:30.54	DM->RN	"send image"	7	35	translation-r-direct	None
37	2018-09-06 10:21:31.42	RN	"sent"	7	36	ack-done	None
38	2018-09-06 10:21:31.90	DM->CMD	"sent"	7	37	translation-l	None
39	2018-09-06 10:21:44.73	CMD	"go north five feet"	8	None	None	None
40	2018-09-06 10:21:51.52	DM->CMD	"processing. . ."	8	39	processing	None
41	2018-09-06 10:21:54.36	DM->RN	"move forward 5 feet"	8	39	translation-r-situated	None
42	2018-09-06 10:21:56.34	DM->CMD	"moving. . ."	8	39	ack-doing	None
43	2018-09-06 10:22:00.90	RN	"done"	8	41	ack-done	None
44	2018-09-06 10:22:01.86	DM->CMD	"done"	8	43	translation-l	None
45	2018-09-06 10:22:01.99	CMD	"take a photo"	9	None	None	None
46	2018-09-06 10:22:04.21	DM->RN	"send image"	9	45	translation-r-direct	None
47	2018-09-06 10:22:05.06	RN	"sent"	9	46	ack-done	None
48	2018-09-06 10:22:05.31	DM->CMD	"sent"	9	47	translation-l	None
49	2018-09-06 10:22:16.49	CMD	"turn <pause .95> ninety degrees clockwise"	10	None	None	None
50	2018-09-06 10:22:22.34	DM->CMD	"processing. . ."	10	49	processing	None
51	2018-09-06 10:22:25.80	DM->RN	"turn right 90 degrees"	10	49	translation-r-situated	None
52	2018-09-06 10:22:27.52	DM->CMD	"turning. . ."	10	49	ack-doing	None
53	2018-09-06 10:22:33.34	RN	"done"	10	51	ack-done	None
54	2018-09-06 10:22:34.27	DM->CMD	"done"	10	53	translation-l	None
55	2018-09-06 10:22:37.35	CMD	"go east five feet"	11	None	None	None
56	2018-09-06 10:22:41.35	DM->CMD	"processing. . ."	11	55	processing	None
57	2018-09-06 10:22:43.96	DM->RN	"move forward 5 feet"	11	55	translation-r-situated	None
58	2018-09-06 10:22:45.92	DM->CMD	"moving. . ."	11	55	ack-doing	None
59	2018-09-06 10:22:49.66	RN	"done"	11	57	ack-done	None
60	2018-09-06 10:22:50.00	DM->CMD	"done"	11	59	translation-l	None
61	2018-09-06 10:22:54.11	CMD	"go east five feet"	12	None	None	None
62	2018-09-06 10:22:57.52	DM->CMD	"processing. . ."	12	61	processing	None
63	2018-09-06 10:23:00.23	DM->RN	"move forward 5 feet"	12	61	translation-r-situated	None
64	2018-09-06 10:23:01.85	DM->CMD	"moving. . ."	12	61	ack-doing	None
65	2018-09-06 10:23:05.85	RN	"done"	12	63	ack-done	None
66	2018-09-06 10:23:06.64	DM->CMD	"done"	12	65	translation-l	None
67	2018-09-06 10:23:10.14	CMD	"go east five feet"	13	None	None	None
68	2018-09-06 10:23:13.74	DM->CMD	"processing. . ."	13	67	processing	None
69	2018-09-06 10:23:16.28	DM->RN	"move forward 5 feet"	13	67	translation-r-situated	None
70	2018-09-06 10:23:18.19	DM->CMD	"moving. . ."	13	67	ack-doing	None
71	2018-09-06 10:23:21.98	RN	"done"	13	69	ack-done	None
72	2018-09-06 10:23:22.47	DM->CMD	"done"	13	71	translation-l	None
73	2018-09-06 10:23:27.18	CMD	"turn ninety degrees counterclockwise"	14	None	None	None
