id	time	stream	text	tu	rel	ant	context
1	0	DM->RN	"calibrate"	1	0	translation-r-direct	None
2	0	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
3	17.89	RN	"done"	1	1	ack-done	None
4	20.03	DM->CMD	"calibration complete"	1	3	translation-l	None
5	26.33	CMD	"<pause> take a picture"	2	None	None	None
6	31.61	DM->RN	"send image"	2	5	translation-r-direct	None
7	32.6	RN	"sent"	2	6	ack-done	None
8	35.14	DM->CMD	"sent"	2	7	translation-l	None
9	42.36	CMD	"rotate left ninety degrees"	3	None	None	None
10	46.4	DM->CMD	"ok"	3	9	ack-wilco	None
11	49.35	DM->RN	"turn left 90 degrees"	3	9	translation-r-direct	None
12	50.09	DM->CMD	"I will turn left 90 degrees"	3	9	ack-wilco	None
13	60.29	RN	"done"	3	11	ack-done	None
14	62.03	DM->CMD	"done"	3	13	translation-l	None
15	71.62	CMD	"take a picture"	4	None	None	None
16	73.99	DM->RN	"send image"	4	15	translation-r-direct	None
17	74.89	RN	"sent"	4	16	ack-done	None
18	76.63	DM->CMD	"sent"	4	17	translation-l	None
19	94.99	CMD	"rotate left ninety degrees"	5	None	None	None
20	99.79	DM->CMD	"ok, I think I got it."	5	19	ack-understand	None
21	103.39	DM->RN	"turn left 90 degrees"	5	19	translation-r-direct	None
22	106.48	DM->CMD	"turning. . ."	5	19	ack-doing	None
23	119.169999999999	RN	"done"	5	21	ack-done	None
24	121.66	DM->CMD	"done"	5	23	translation-l	None
25	123.59	CMD	"take a pic <picture>"	6	None	None	None
26	126.01	DM->RN	"send image"	6	25	translation-r-direct	None
27	127.13	RN	"sent <static>"	6	26	ack-done	None
28	129.12	DM->CMD	"sent"	6	27	translation-l	None
29	134.03	CMD	"can you go that way"	7	None	None	None
30	137.97	DM->CMD	"processing. . ."	7	29	processing	None
31	156.71	DM->CMD	"Hmm, I'm not sure what you would like me to do. <beep>"	7	29	nack	None
32	169.78	CMD	"rotate left ninety degrees"	8	None	None	None
33	173.6	DM->CMD	"ok"	8	32	ack-wilco	None
34	176.65	DM->RN	"turn left 90 degrees"	8	32	translation-r-direct	None
35	179.84	DM->CMD	"turning. . ."	8	32	ack-doing	None
36	191.16	CMD	"take a picture"	9	None	None	None
37	191.359999999999	RN	"done"	8	34	ack-done	None
38	193.52	DM->CMD	"I turned left 90 degrees"	8	37	translation-l	None
39	195.74	DM->RN	"send image"	9	36	translation-r-direct	None
40	196.85	RN	"sent"	9	39	ack-done	None
41	198.47	DM->CMD	"sent"	9	40	translation-l	None
42	209.64	CMD	"back up one foot"	10	None	None	None
43	213.64	DM->CMD	"ok"	10	42	ack-wilco	None
44	217.11	DM->RN	"move back 1 foot"	10	42	translation-r-direct	None
45	218.22	DM->CMD	"I will move back 1 foot"	10	42	ack-wilco	None
46	220.23	DM->CMD	"moving. . ."	10	42	ack-doing	None
47	222.14	RN	"done"	10	44	ack-done	None
48	223.84	DM->CMD	"done"	10	47	translation-l	None
49	225.72	CMD	"rotate left ninety degrees"	11	None	None	None
50	230.92	DM->CMD	"ok"	11	49	ack-wilco	None
51	235.19	DM->RN	"turn left 90 degrees"	11	49	translation-r-direct	None
52	236.74	DM->CMD	"I will turn left 90 degrees"	11	49	ack-wilco	None
53	238.38	DM->CMD	"turning. . ."	11	49	ack-doing	None
54	249.9	RN	"done"	11	51	ack-done	None
55	252.69	DM->CMD	"done"	11	54	translation-l	None
56	253.24	CMD	"move three feet forward"	12	None	None	None
57	258.86	DM->CMD	"ok"	12	56	ack-wilco	None
58	261.75	DM->RN	"move forward 3 feet"	12	56	translation-r-direct	None
59	262.75	DM->CMD	"I will move forward 3 feet"	12	56	ack-wilco	None
60	264.93	DM->CMD	"moving. . ."	12	56	ack-doing	None
61	268.86	RN	"done"	12	58	ack-done	None
