id	time	stream	text	tu	rel	ant	context
1	2018-08-23 10:18:36.44	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
2	2018-08-23 10:18:58.13	RN	"<no speech>"	None	None	None	None
3	2018-08-23 10:18:59.42	RN	"<X: audio sync in three two one>"	X-CMD	None	None	None
4	2018-08-23 10:18:59.44	CMD	"<X: audio sync in three two one>"	X-CMD	None	None	None
5	2018-08-23 10:19:02.13	RN	"<loud noise>"	X-CMD	None	None	None
6	2018-08-23 10:19:02.13	CMD	"<loud noise>"	X-CMD	None	None	None
7	2018-08-23 10:19:09.90	CMD	"<X: okay>"	X-CMD	None	None	None
8	2018-08-23 10:19:10.12	CMD	"<no speech>"	X-CMD	None	None	None
9	2018-08-23 10:19:10.51	DM->CMD	"calibration complete"	1	None	None	None
10	2018-08-23 10:19:11.30	CMD	"<X: xxx>"	X-CMD	None	None	None
11	2018-08-23 10:19:52.45	CMD	"i am ready"	2	None	None	None
12	2018-08-23 10:19:54.16	DM->RN	"participant is ready"	2	11	translation-r-direct	None
13	2018-08-23 10:19:56.68	DM->CMD	"Hello! <beep>"	3	None	None	None
14	2018-08-23 10:19:58.83	DM->CMD	"Thanks for teaming up with me today."	3	13	continue	None
15	2018-08-23 10:20:01.60	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	3	14	continue	None
16	2018-08-23 10:20:02.00	CMD	"move east"	4	None	None	None
17	2018-08-23 10:20:04.48	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	3	15	continue	None
18	2018-08-23 10:20:07.52	DM->CMD	"You can ask for help at any time."	3	17	continue	None
19	2018-08-23 10:20:44.07	CMD	"move forward"	4	16	summarization	None
20	2018-08-23 10:20:45.90	DM->CMD	"How far forward should I go?  <beep>"	4	19	req-clar	None
21	2018-08-23 10:20:52.56	CMD	"one meter"	4	20	clar-repair	None
22	2018-08-23 10:20:54.73	DM->CMD	"processing. . ."	4	21*	processing	None
23	2018-08-23 10:21:00.70	DM->RN	"move forward 1 meter"	4	21*	translation-r-direct	None
24	2018-08-23 10:21:02.92	DM->CMD	"moving. . ."	4	21*	ack-doing	None
25	2018-08-23 10:21:06.16	RN	"done"	4	23	ack-done	None
26	2018-08-23 10:21:06.65	DM->CMD	"done"	4	25	translation-l	None
27	2018-08-23 10:21:15.95	CMD	"<no speech>"	None	None	None	None
28	2018-08-23 10:21:16.61	CMD	"turn left"	5	None	None	None
29	2018-08-23 10:21:22.69	DM->CMD	"How far should I turn to the left?  <beep>"	5	28	req-clar	None
30	2018-08-23 10:21:25.08	CMD	"ninety degrees"	5	29	clar-repair	None
31	2018-08-23 10:21:26.85	DM->CMD	"processing. . ."	5	30*	processing	None
32	2018-08-23 10:21:30.69	DM->CMD	"I will turn left 90 degrees"	5	30*	ack-wilco	None
33	2018-08-23 10:21:33.11	DM->RN	"turn left 90 degrees"	5	30*	translation-r-direct	None
34	2018-08-23 10:21:35.30	DM->CMD	"turning. . ."	5	30*	ack-doing	None
35	2018-08-23 10:21:44.92	RN	"done"	5	33	ack-done	None
36	2018-08-23 10:21:45.39	DM->CMD	"done"	5	35	translation-l	None
37	2018-08-23 10:21:49.17	CMD	"<no speech>"	None	None	None	None
38	2018-08-23 10:21:50.53	CMD	"turn right <pause .34> fifteen degrees"	6	None	None	None
39	2018-08-23 10:21:54.47	DM->CMD	"processing. . ."	6	38	processing	None
40	2018-08-23 10:22:01.87	CMD	"<no speech>"	None	None	None	None
41	2018-08-23 10:22:01.89	DM->RN	"turn right 15 degrees"	6	38	translation-r-direct	None
42	2018-08-23 10:22:04.13	DM->CMD	"turning. . ."	6	38	ack-doing	None
43	2018-08-23 10:22:05.45	RN	"done"	6	41	ack-done	None
44	2018-08-23 10:22:05.90	DM->CMD	"done"	6	43	translation-l	None
45	2018-08-23 10:22:07.81	CMD	"move forward two meters"	7	None	None	None
46	2018-08-23 10:22:10.83	DM->CMD	"processing. . ."	7	45	processing	None
