id	time	stream	text	context	notes
0	0	CMD	"(calibrate)"	None	None
1	2018-09-24 14:03:21.89	DM->RN	"calibrate"	None	None
2	2018-09-24 14:03:22.73	DM->CMD	"calibrating. . ."	None	None
3	2018-09-24 14:03:52.37	CMD	"<X: hold down xxx>"	None	None
4	2018-09-24 14:04:01.09	RN	"<X: audio sync in three two one>"	None	None
5	2018-09-24 14:04:01.16	CMD	"<X: audio sync in three two one>"	None	None
6	2018-09-24 14:04:05.10	RN	"<loud noise>"	None	None
7	2018-09-24 14:04:05.10	CMD	"<loud noise>"	None	None
8	2018-09-24 14:04:07.69	DM->CMD	"calibration complete"	None	None
9	2018-09-24 14:04:07.98	CMD	"<X: okay you can let it up>"	None	None
10	2018-09-24 14:04:18.30	CMD	"mm"	None	None
11	2018-09-24 14:04:19.04	CMD	"I am ready"	None	None
12	2018-09-24 14:04:23.02	DM->CMD	"Hello! <beep>"	None	None
13	2018-09-24 14:04:24.44	DM->CMD	"Thanks for teaming up with me today."	None	None
14	2018-09-24 14:04:27.22	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	None	None
15	2018-09-24 14:04:32.08	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	None	None
16	2018-09-24 14:04:37.27	DM->CMD	"You can ask for help at any time."	None	None
17	2018-09-24 14:04:41.44	DM->CMD	"I'm ready.  <beep>"	None	None
18	2018-09-24 14:05:05.74	CMD	"okay"	None	None
19	2018-09-24 14:05:06.11	CMD	"go forward"	None	None
20	2018-09-24 14:05:12.62	DM->CMD	"How far should I move forward? <beep>"	None	None
21	2018-09-24 14:05:16.61	CMD	"about ten feet"	None	None
22	2018-09-24 14:05:19.72	DM->CMD	"ok"	None	None
23	2018-09-24 14:05:23.29	DM->RN	"move forward 10 feet"	None	None
24	2018-09-24 14:05:23.81	DM->CMD	"I will move forward 10 feet"	None	None
25	2018-09-24 14:05:38.41	RN	"done"	None	None
26	2018-09-24 14:05:39.62	DM->CMD	"done"	None	None
27	2018-09-24 14:05:41.75	CMD	"okay"	None	None
28	2018-09-24 14:05:42.24	CMD	"w<disfl> what do you see"	None	None
29	2018-09-24 14:05:46.32	DM->CMD	"Would you like me to send a picture?  <beep>"	None	None
30	2018-09-24 14:05:48.49	CMD	"yes"	None	None
31	2018-09-24 14:05:50.39	DM->RN	"send image"	None	None
i000	2018-09-24 14:05:58.72	IMAGE	"frame000"	None	None
32	2018-09-24 14:05:51.03	RN	"sent"	None	None
33	2018-09-24 14:05:52.36	DM->CMD	"sent"	None	None
34	2018-09-24 14:06:06.27	CMD	"okay"	None	None
35	2018-09-24 14:06:06.59	CMD	"go forward another ten feet"	None	None
36	2018-09-24 14:06:10.80	DM->CMD	"processing. . ."	None	None
37	2018-09-24 14:06:13.31	DM->RN	"move forward 10 feet"	None	None
38	2018-09-24 14:06:16.91	DM->CMD	"moving. . ."	None	None
39	2018-09-24 14:06:30.65	RN	"done"	None	None
40	2018-09-24 14:06:31.96	DM->CMD	"done"	None	None
41	2018-09-24 14:06:37.85	CMD	"okay um"	None	None
42	2018-09-24 14:06:38.57	CMD	"what do you see"	None	None
43	2018-09-24 14:06:45.36	DM->CMD	"Should I send a picture? <beep>"	None	None
44	2018-09-24 14:06:46.48	CMD	"yes"	None	None
45	2018-09-24 14:06:48.86	DM->RN	"send image"	None	None
i001	2018-09-24 14:06:56.76	IMAGE	"frame001"	None	None
46	2018-09-24 14:06:49.63	RN	"sent"	None	None
47	2018-09-24 14:06:51.01	DM->CMD	"sent"	None	None
48	2018-09-24 14:06:57.42	DM->CMD	"You can tell me to move a certain distance or to move to an object.  <beep>"	None	None
49	2018-09-24 14:07:35.69	CMD	"uh move the uh potted plant"	None	None
