id	time	stream	text	context	notes
0	0	CMD	"(calibrate)"	None	None
1	2018-09-26 10:31:26.33	DM->RN	"calibrate"	None	None
2	2018-09-26 10:31:27.30	DM->CMD	"calibrating. . ."	None	None
3	2018-09-26 10:31:54.31	CMD	"<X: audio sync in three two one>"	None	None
4	2018-09-26 10:31:54.35	RN	"<X: audio sync in three two one>"	None	None
5	2018-09-26 10:31:58.05	RN	"<loud noise>"	None	None
6	2018-09-26 10:31:58.05	CMD	"<loud noise>"	None	None
7	2018-09-26 10:32:00.42	CMD	"<X: okay>"	None	None
8	2018-09-26 10:32:00.43	DM->CMD	"calibration complete"	None	None
9	2018-09-26 10:32:11.16	CMD	"i am ready"	None	None
10	2018-09-26 10:32:15.26	DM->RN	"participant is ready"	None	None
11	2018-09-26 10:32:17.75	DM->CMD	"I'm also ready.  <beep>"	None	None
12	2018-09-26 10:32:20.37	CMD	"move a hundred degrees to the left"	None	None
13	2018-09-26 10:32:24.82	DM->CMD	"ok"	None	None
14	2018-09-26 10:32:30.27	DM->RN	"turn left 100 degrees"	None	None
15	2018-09-26 10:32:34.07	DM->CMD	"turning. . ."	None	None
16	2018-09-26 10:32:48.47	RN	"done"	None	None
17	2018-09-26 10:32:50.24	DM->CMD	"done"	None	None
18	2018-09-26 10:32:54.83	CMD	"move <pause> twenty steps to the right"	None	None
19	2018-09-26 10:33:09.85	DM->CMD	"How far should I rotate right? <beep>"	None	None
20	2018-09-26 10:33:16.59	CMD	"ten degrees"	None	None
21	2018-09-26 10:33:19.19	DM->CMD	"ok"	None	None
22	2018-09-26 10:33:24.09	DM->RN	"turn right 10 degrees"	None	None
23	2018-09-26 10:33:28.01	RN	"done"	None	None
24	2018-09-26 10:33:28.92	DM->CMD	"done"	None	None
25	2018-09-26 10:33:31.89	CMD	"move up to the left"	None	None
26	2018-09-26 10:33:40.38	DM->CMD	"Can you rephrase that?  <beep>"	None	None
27	2018-09-26 10:33:42.82	CMD	"move ten steps up to the left"	None	None
28	2018-09-26 10:33:48.03	DM->CMD	"I'm not sure if I can move that far forward.  <beep>"	None	None
29	2018-09-26 10:33:52.64	CMD	"move to the right"	None	None
30	2018-09-26 10:33:58.07	DM->CMD	"How far should I turn to the right?  <beep>"	None	None
31	2018-09-26 10:34:01.30	CMD	"twenty steps"	None	None
32	2018-09-26 10:34:09.64	DM->CMD	"You can tell me to turn a number of degrees or to face something.  <beep>"	None	None
33	2018-09-26 10:34:20.79	CMD	"a hundred degrees to the left"	None	None
34	2018-09-26 10:34:28.65	DM->CMD	"ok"	None	None
35	2018-09-26 10:34:34.62	DM->RN	"turn left 100 degrees"	None	None
36	2018-09-26 10:34:52.37	RN	"done"	None	None
37	2018-09-26 10:34:53.84	DM->CMD	"done"	None	None
38	2018-09-26 10:34:59.61	CMD	"twenty degrees to the right"	None	None
39	2018-09-26 10:35:04.98	DM->CMD	"ok"	None	None
40	2018-09-26 10:35:09.44	DM->RN	"turn right 20 degrees"	None	None
41	2018-09-26 10:35:15.47	RN	"done"	None	None
