id	time	stream	text	context	notes
0	0	CMD	"(calibrate)"	None	None
1	2018-09-10 10:32:15.61	DM->CMD	"calibrating. . ."	None	None
2	2018-09-10 10:32:18.12	DM->RN	"calibrate"	None	None
3	2018-09-10 10:32:37.05	CMD	"<X: xxx>"	None	None
4	2018-09-10 10:32:38.75	CMD	"<no speech>"	None	None
5	2018-09-10 10:32:45.48	RN	"<X: audio sync in three two one>"	None	None
6	2018-09-10 10:32:45.55	CMD	"<X: audio sync in three two one>"	None	None
7	2018-09-10 10:32:49.63	RN	"<loud noise>"	None	None
8	2018-09-10 10:32:49.63	CMD	"<loud noise>"	None	None
9	2018-09-10 10:32:52.18	CMD	"<X: okay you can let it up>"	None	None
10	2018-09-10 10:32:56.89	DM->CMD	"calibration complete"	None	None
11	2018-09-10 10:33:00.78	CMD	"i am ready"	None	None
12	2018-09-10 10:33:04.26	DM->RN	"participant is ready"	None	None
13	2018-09-10 10:33:07.85	DM->CMD	"I'm also ready.  <beep>"	None	None
14	2018-09-10 10:33:15.10	CMD	"move forward until you see a shoe or a doorway"	None	None
15	2018-09-10 10:33:22.55	DM->CMD	"processing. . ."	None	None
16	2018-09-10 10:33:33.78	DM->CMD	"How far forward should I go?  <beep>"	None	None
17	2018-09-10 10:33:35.44	CMD	"move forward <pause .70> three feet <pause .35> "	None	None
18	2018-09-10 10:33:38.02	CMD	"and turn to your right"	None	None
19	2018-09-10 10:33:41.95	DM->CMD	"ok"	None	None
20	2018-09-10 10:33:44.93	DM->RN	"move forward 3 feet"	None	None
21	2018-09-10 10:33:46.67	DM->RN	"then. . ."	None	None
22	2018-09-10 10:33:47.99	DM->RN	"turn right 90 degrees"	None	None
23	2018-09-10 10:33:49.79	DM->CMD	"moving. . ."	None	None
24	2018-09-10 10:33:52.37	CMD	"take a photo of the object on your right"	None	None
25	2018-09-10 10:33:55.01	DM->RN	"then. . ."	None	None
26	2018-09-10 10:33:55.92	DM->RN	"send image"	None	None
27	2018-09-10 10:33:58.40	DM->CMD	"I will send a picture"	None	None
i000	2018-09-10 10:34:07.39	IMAGE	"frame000"	None	None
28	2018-09-10 10:34:03.63	RN	"done and sent"	None	None
29	2018-09-10 10:34:06.12	DM->CMD	"done, sent"	None	None
30	2018-09-10 10:34:11.63	CMD	"turn <pause .43> to your left"	None	None
31	2018-09-10 10:34:13.69	CMD	"and take a photo of the object on your left"	None	None
32	2018-09-10 10:34:19.89	DM->CMD	"processing. . ."	None	None
33	2018-09-10 10:34:31.56	DM->RN	"turn left 90 degrees"	None	None
34	2018-09-10 10:34:33.07	DM->RN	"then. . ."	None	None
35	2018-09-10 10:34:34.32	DM->RN	"send image"	None	None
36	2018-09-10 10:34:36.89	DM->CMD	"turning. . ."	None	None
i001	2018-09-10 10:34:49.47	IMAGE	"frame001"	None	None
37	2018-09-10 10:34:46.13	RN	"done and sent"	None	None
38	2018-09-10 10:34:48.51	DM->CMD	"done, sent"	None	None
39	2018-09-10 10:34:55.38	CMD	"turn ninety degrees to your left"	None	None
40	2018-09-10 10:35:01.55	DM->RN	"turn left 90 degrees"	None	None
41	2018-09-10 10:35:02.87	DM->CMD	"I will turn left 90 degrees"	None	None
42	2018-09-10 10:35:13.66	CMD	"take a photo of the object that's directly in front of xxx"	None	None
43	2018-09-10 10:35:14.00	RN	"done"	None	None
44	2018-09-10 10:35:15.19	DM->CMD	"done"	None	None
45	2018-09-10 10:35:18.04	DM->RN	"send image"	None	None
i002	2018-09-10 10:35:21.92	IMAGE	"frame002"	None	None
46	2018-09-10 10:35:18.86	RN	"sent"	None	None
47	2018-09-10 10:35:21.38	DM->CMD	"sent"	None	None
48	2018-09-10 10:35:29.07	CMD	"take a photo of the shovel"	None	None
49	2018-09-10 10:35:35.04	DM->CMD	"processing. . ."	None	None
50	2018-09-10 10:35:39.45	CMD	"move <pause .58> forward until you reach the doorway"	None	None
51	2018-09-10 10:35:48.84	DM->CMD	"processing. . ."	None	None
52	2018-09-10 10:35:55.17	DM->CMD	"The one directly to my right, or ahead and to the right?  <beep>"	None	None
53	2018-09-10 10:36:00.81	CMD	"move ahead and to the right"	None	None
54	2018-09-10 10:36:07.89	DM->CMD	"ok"	None	None
55	2018-09-10 10:36:16.78	DM->RN	"move to Shoe Start - hall doorway"	None	None
56	2018-09-10 10:36:19.70	DM->CMD	"moving. . ."	None	None
