id	time	stream	text	context	notes
0	0	CMD	"(calibrate)"	None	None
1	2018-08-02 14:35:11.32	DM->RN	"ok"	None	None
2	2018-08-02 14:51:38.46	DM->CMD	"calibrating. . ."	None	None
3	2018-08-02 14:52:00.15	RN	"<X: audio sync in three two one>"	None	None
4	2018-08-02 14:52:01.58	CMD	"<X: audio sync in three two one>"	None	None
5	2018-08-02 14:52:03.80	RN	"<loud noise>"	None	None
6	2018-08-02 14:52:03.80	CMD	"<loud noise>"	None	None
7	2018-08-02 14:52:07.72	DM->CMD	"calibration complete"	None	None
8	2018-08-02 14:52:08.43	CMD	"<X: okay>"	None	None
9	2018-08-02 14:52:37.98	CMD	"i am ready"	None	None
10	2018-08-02 14:52:40.52	DM->RN	"participant is ready"	None	None
11	2018-08-02 14:52:42.47	DM->CMD	"Hello! <beep>"	None	None
12	2018-08-02 14:52:43.77	DM->CMD	"Thanks for teaming up with me today."	None	None
13	2018-08-02 14:52:45.76	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."	None	None
14	2018-08-02 14:52:48.10	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."	None	None
15	2018-08-02 14:52:49.81	DM->CMD	"You can ask for help at any time."	None	None
16	2018-08-02 14:52:51.78	CMD	"send me a picture"	None	None
17	2018-08-02 14:52:55.79	DM->RN	"send image"	None	None
i000	2018-08-02 14:52:59.08	IMAGE	"frame000"	None	None
18	2018-08-02 14:52:56.11	RN	"sent"	None	None
19	2018-08-02 14:52:57.88	DM->CMD	"sent"	None	None
20	2018-08-02 14:53:03.06	CMD	"move five feet forward"	None	None
21	2018-08-02 14:53:06.43	DM->CMD	"processing. . ."	None	None
22	2018-08-02 14:53:12.21	DM->CMD	"I will move forward 5 feet"	None	None
23	2018-08-02 14:53:13.53	DM->RN	"move forward 5 feet"	None	None
24	2018-08-02 14:53:15.85	DM->CMD	"moving. . ."	None	None
25	2018-08-02 14:53:18.51	RN	"done"	None	None
26	2018-08-02 14:53:21.21	DM->CMD	"done"	None	None
27	2018-08-02 14:53:22.06	CMD	"turn to the left"	None	None
28	2018-08-02 14:53:23.14	CMD	"and take a picture"	None	None
29	2018-08-02 14:53:28.31	DM->CMD	"How far should I turn to the left?  <beep>"	None	None
30	2018-08-02 14:53:31.71	CMD	"ninety degrees"	None	None
31	2018-08-02 14:53:34.02	DM->CMD	"processing. . ."	None	None
32	2018-08-02 14:53:41.48	DM->RN	"turn left 90 degrees"	None	None
33	2018-08-02 14:53:42.60	DM->RN	"then. . ."	None	None
34	2018-08-02 14:53:44.03	DM->CMD	"turning. . ."	None	None
35	2018-08-02 14:53:45.89	DM->RN	"send image"	None	None
i001	2018-08-02 14:53:54.08	IMAGE	"frame001"	None	None
i002	2018-08-02 14:53:54.10	IMAGE	"frame002"	None	None
36	2018-08-02 14:53:51.63	RN	"done and sent"	None	None
37	2018-08-02 14:53:54.54	DM->CMD	"done, sent"	None	None
38	2018-08-02 14:54:05.50	CMD	"turn to the right"	None	None
39	2018-08-02 14:54:06.71	CMD	"and move forward five feet"	None	None
40	2018-08-02 14:54:11.62	DM->CMD	"How far should I turn to the right?  <beep>"	None	None
41	2018-08-02 14:54:12.49	CMD	"ninety degrees"	None	None
42	2018-08-02 14:54:15.01	DM->CMD	"processing. . ."	None	None
43	2018-08-02 14:54:19.15	DM->RN	"turn right 90 degrees"	None	None
44	2018-08-02 14:54:20.34	DM->RN	"then. . ."	None	None
45	2018-08-02 14:54:21.28	DM->CMD	"turning. . ."	None	None
46	2018-08-02 14:54:23.36	DM->RN	"move forward 5 feet"	None	None
47	2018-08-02 14:54:28.80	DM->CMD	"moving. . ."	None	None
48	2018-08-02 14:54:32.86	RN	"done"	None	None
49	2018-08-02 14:54:35.58	DM->CMD	"done"	None	None
50	2018-08-02 14:54:37.04	CMD	"move forward ten feet"	None	None
51	2018-08-02 14:54:41.89	DM->CMD	"processing. . ."	None	None
52	2018-08-02 14:54:47.56	DM->CMD	"I will move forward 10 feet"	None	None
53	2018-08-02 14:54:49.83	DM->RN	"move forward 10 feet"	None	None
54	2018-08-02 14:54:52.58	DM->CMD	"moving. . ."	None	None
55	2018-08-02 14:54:59.73	RN	"done"	None	None
