id	time	stream	text	context	notes
0	0	CMD	"(calibrate)"	None	None
1	2018-08-29 14:35:50.76	DM->CMD	"calibrating. . ."	None	None
2	2018-08-29 14:35:53.36	DM->RN	"calibrate"	None	None
3	2018-08-29 14:36:11.61	CMD	"<no speech>"	None	None
4	2018-08-29 14:36:17.12	CMD	"<no speech>"	None	None
5	2018-08-29 14:36:19.98	CMD	"<X: audio sync in three two one>"	None	None
6	2018-08-29 14:36:20.01	RN	"<X: audio sync in three two one>"	None	None
7	2018-08-29 14:36:23.71	RN	"<loud noise>"	None	None
8	2018-08-29 14:36:23.71	CMD	"<loud noise>"	None	None
9	2018-08-29 14:36:23.97	CMD	"<no speech>"	None	None
10	2018-08-29 14:36:26.79	CMD	"<X: okay you can let>"	None	None
11	2018-08-29 14:36:30.29	DM->CMD	"calibration complete"	None	None
12	2018-08-29 14:36:37.31	CMD	"i am ready"	None	None
13	2018-08-29 14:36:39.01	DM->RN	"participant is ready"	None	None
14	2018-08-29 14:36:43.29	DM->CMD	"I'm also ready.  <beep>"	None	None
15	2018-08-29 14:36:48.50	CMD	"<no speech>"	None	None
16	2018-08-29 14:36:49.58	CMD	"move forward <pause 1.09> four feet"	None	None
17	2018-08-29 14:36:55.54	DM->CMD	"ok"	None	None
18	2018-08-29 14:37:01.34	DM->RN	"move forward 4ft"	None	None
19	2018-08-29 14:37:03.96	DM->CMD	"moving. . ."	None	None
20	2018-08-29 14:37:08.28	RN	"done"	None	None
21	2018-08-29 14:37:10.02	CMD	"take photo"	None	None
22	2018-08-29 14:37:10.60	DM->CMD	"done"	None	None
23	2018-08-29 14:37:15.22	DM->RN	"send image"	None	None
i000	2018-08-29 14:37:19.89	IMAGE	"frame000"	None	None
24	2018-08-29 14:37:15.93	RN	"sent"	None	None
25	2018-08-29 14:37:19.10	DM->CMD	"sent"	None	None
26	2018-08-29 14:37:52.77	CMD	"move forward <pause .65> four feet"	None	None
27	2018-08-29 14:37:59.70	DM->CMD	"ok"	None	None
28	2018-08-29 14:38:04.62	DM->RN	"move forward 4ft"	None	None
29	2018-08-29 14:38:06.93	DM->CMD	"moving. . ."	None	None
30	2018-08-29 14:38:13.33	RN	"done"	None	None
31	2018-08-29 14:38:14.53	CMD	"take photo"	None	None
32	2018-08-29 14:38:14.68	DM->CMD	"done"	None	None
33	2018-08-29 14:38:19.75	DM->RN	"send image"	None	None
i001	2018-08-29 14:38:23.40	IMAGE	"frame001"	None	None
34	2018-08-29 14:38:20.22	RN	"sent"	None	None
35	2018-08-29 14:38:22.95	DM->CMD	"sent"	None	None
36	2018-08-29 14:38:27.44	CMD	"go south <pause .82> five feet"	None	None
37	2018-08-29 14:38:33.84	DM->CMD	"processing. . ."	None	None
38	2018-08-29 14:38:42.69	DM->CMD	"I will turn to face South"	None	None
39	2018-08-29 14:38:43.73	DM->RN	"turn to face South"	None	None
40	2018-08-29 14:38:45.44	DM->CMD	"I will move forward 5 feet"	None	None
41	2018-08-29 14:38:46.22	DM->RN	"move forward 5 feet"	None	None
42	2018-08-29 14:38:58.02	RN	"done"	None	None
43	2018-08-29 14:38:59.52	DM->CMD	"done"	None	None
44	2018-08-29 14:39:01.54	CMD	"take photo"	None	None
45	2018-08-29 14:39:07.05	DM->RN	"send image"	None	None
i002	2018-08-29 14:39:10.20	IMAGE	"frame002"	None	None
46	2018-08-29 14:39:07.80	RN	"sent"	None	None
47	2018-08-29 14:39:09.70	DM->CMD	"sent"	None	None
48	2018-08-29 14:39:55.21	CMD	"move forward <pause .86> five feet"	None	None
49	2018-08-29 14:40:02.16	DM->CMD	"ok"	None	None
50	2018-08-29 14:40:05.01	DM->RN	"move forward 5 feet"	None	None
51	2018-08-29 14:40:07.27	DM->CMD	"I will move forward 5 feet"	None	None
52	2018-08-29 14:40:12.33	RN	"done"	None	None
53	2018-08-29 14:40:13.80	DM->CMD	"done"	None	None
54	2018-08-29 14:40:15.45	CMD	"take photo"	None	None
55	2018-08-29 14:40:22.67	DM->RN	"send image"	None	None
i003	2018-08-29 14:40:24.82	IMAGE	"frame003"	None	None
56	2018-08-29 14:40:23.42	RN	"sent"	None	None
57	2018-08-29 14:40:25.32	DM->CMD	"sent"	None	None
58	2018-08-29 14:40:52.57	CMD	"forward five feet"	None	None
59	2018-08-29 14:40:59.24	DM->CMD	"ok"	None	None
60	2018-08-29 14:41:01.37	DM->RN	"move forward 5 feet"	None	None
61	2018-08-29 14:41:04.34	DM->CMD	"moving. . ."	None	None
62	2018-08-29 14:41:10.84	RN	"done"	None	None
63	2018-08-29 14:41:12.60	DM->CMD	"I moved forward 5 feet"	None	None
64	2018-08-29 14:41:14.29	CMD	"take photo"	None	None
65	2018-08-29 14:41:19.11	DM->RN	"send image"	None	None
i004	2018-08-29 14:41:20.49	IMAGE	"frame004"	None	None
66	2018-08-29 14:41:19.87	RN	"sent"	None	None
67	2018-08-29 14:41:21.83	DM->CMD	"sent"	None	None
68	2018-08-29 14:41:28.47	CMD	"move forward <pause .97> four feet"	None	None
69	2018-08-29 14:41:36.43	DM->CMD	"ok"	None	None
70	2018-08-29 14:41:41.88	DM->RN	"move forward 4ft"	None	None
71	2018-08-29 14:41:44.83	DM->CMD	"moving. . ."	None	None
72	2018-08-29 14:41:49.99	RN	"done"	None	None
73	2018-08-29 14:41:51.14	DM->CMD	"done"	None	None
74	2018-08-29 14:41:53.44	CMD	"turn west"	None	None
75	2018-08-29 14:41:57.16	DM->CMD	"I will turn to face West"	None	None
76	2018-08-29 14:41:57.74	DM->RN	"turn to face West"	None	None
77	2018-08-29 14:42:06.62	RN	"done"	None	None
78	2018-08-29 14:42:08.89	DM->CMD	"done"	None	None
79	2018-08-29 14:42:08.95	CMD	"take photo"	None	None
80	2018-08-29 14:42:10.98	DM->RN	"send image"	None	None
i005	2018-08-29 14:42:11.43	IMAGE	"frame005"	None	None
81	2018-08-29 14:42:11.60	RN	"sent"	None	None
